text,label
"i have no problem eating foreign food , what i have a problem is is handing over my money to foreigners. there is no reason you should hate any foods just beacuse some other race found out a nice way to prepare it .",noHate
There are a few schools around here that run women only classes and once school has a six or eight week so called boot camp for women wanting to do krav maga .,noHate
England has been Jew infested for centuries and the BBC is the centre of the Marxist propaganda mill .,hate
You may as well think of it as the blood of an animal .,noHate
Good luck !,noHate
because they deserve at least a taste of it for helping the white liberals and Jews push it on us I do n't think we should allow it to destroy them though .,hate
I certainly hope they live up to their name and have a mostly ( or even better all ) -White team .,noHate
"My kids are in a co-op that meets weekly , they attend church activities twice a week , and they are active in sports and other activities .",noHate
You find they are worse since they will able to blend more and fool people into thinking they 're genuine .,hate
"If you want to see what having a black , kenyan White-hating muslime in the Whitehouse has created , go look at Tarantino 's latest flick Django Unchained .",hate
Thanks.,noHate
"they played this on fox news today.said she went ape schmidt , no pun intended , because they had no baffrooms.fox news sucks but at least people get a couple seconds of real news ......... secondly , ive never heard of a sheboon before.a new specie , from the chimpout family ?",hate
She became a suspect when two people contacted the Department of Revenue claiming an agency employee requested credit card information when they called to make payments on their accounts .,noHate
You've walked right into it again .,noHate
"`Interesting' to see someone of the same radio outfit to praise this figure , while there was an amazing show dedicated to uncovering the facts regarding this anti-German filth .",hate
"It 's annoying to live in a time where a subhuman monkey coon thinks it 's okay to hit an Aryan white blond , blue-eyed child .",hate
The only way to deal with these animals is to give them a one way ticket to their filthy pig god .,hate
Quite the opposite in fact .,noHate
"I know I keep hoping I wake up one day and this multiracial hell Canada was all just a terrible nightmare , but it never happens .",hate
looking for sisters and brothers to hang out with get to know ...... cant semm to find in in this area ?,noHate
There is no good in reasoning a bitch that is hungry for a dick.Forget her and let her perish in shame after negroid kicks her after a few tries .,hate
The big black females pushed their way into the Houston city counsel meeting and said all of the white teachers they used to have all quit ( do you wonder why ? ) and all you sent us to replace all them teachers was a bunch of dumb blacks .,hate
If I could create a disease that wipes out all Black 's I would .,hate
My 22 pump action long rifle for fun My mosin nagant for hunting My semi automatic 12 gauge for home defense buck shots My browning 1919 for personal side arm My mauser k 98 k scoped for hunting,noHate
White men explored space and landed on the moon and white men sent them there and brought them home safe .,noHate
Mostly they were playing loud kurdish music .,noHate
The thought of Africans in space is laughable .,hate
"We spent too much time and effort worrying about Blacks while the Asians and Hispanics , were the ones carrying the ball .",hate
"I was basically a babysitter , and the apes went nuts , and frankly , I could not control them and had to press the panic button twice to get someone to help me .",hate
"I do have a few copies of several of the languages around the house , if anyone is interested PM me for details .",noHate
"I honestly hate Indians , Muslims , really anything with brown , black or yellow coloured skin I hate .",hate
"Yeah, it surprised me .",noHate
We can all put down our torches go home and suck some Jew d@cK JUST LIKE YOU !,hate
Please join the discussions first before posting your pictures .,noHate
Yet my daughter still wants to go outside and play with that thing .,hate
Why do you feel a need to talk about this publicly ?,noHate
"On his first day of school , he is tormented by the evil spirited White children .",noHate
I wonder why the Jewish Media always pretends that all the blood thirsty third world savages are victims and it is all Whitey 's fault ?,hate
they act as if negros with aids should have the right to reproduce when they will die off and have no way to take care of the kid I cant believe that they are doing this by the millions its crazy,hate
"Francesca Battistelli : Beautiful Beautiful YouTube - Francesca Battistelli - Beautiful , Beautiful ( Video ) Meredith Andrews : You 're Not Alone YouTube - Meredith Andrews - You 're Not Alone ( Music Video )",noHate
"Fortunately for Golden Dawn they do n't depend that much on the internet , since they are a grass-roots organization through and through .",noHate
Depending on which part of Scotland you 're going to I might have some bad news for you about the Kaffirs .,hate
"The natural royality of the planet was not the posing apes , but the Overman .",hate
This is not good even though it is the truth .,noHate
"I disagree you can never justify race mixing Some of them girls may have been brainwashed by media , also you are condemning their kids and furture generations of kids to a non white future .",hate
"When the entire non-White world is breathing down your neck waiting for an opportunity to kill you , anything you do to protect yourself is self-defense .",hate
-Yankee Jim,noHate
I am a 23 year old Spanish guy .,noHate
"Yes, more homosexual degeneracy foisted upon the silent majority .",hate
From what I hear .,noHate
Correct that is the exact goal of the Elite in North America .,noHate
However I hope we 'll get off our butts before then .,noHate
But I love this song and video so I thought I d post it here since the topic is about him .,noHate
Note that I ca n't guarantee that later editions of this book have such ( or even any ) coverage of word problems .,noHate
They all deserve an ass kicking .,hate
Cowardly scum from the Irish countryside bigging up in army jackets .,hate
I had to change the kids site around a bit Liz ... here is the correct link for the FCKS ... Creative Kids,noHate
I 'm surprised they 're not holding the gun back to front .,hate
"They sound so naive , when will they learn that these people do not want to intergrate just accumulate .",hate
Police : Suspect in U.Va. case linked to 2009 homicide Virginia State Police said Monday that a suspect charged in the disappearance of a University of Virginia sophomore is linked through forensic evidence to the abduction and murder of another college student five years ago .,noHate
This gay kill a young bulgarian man to protect some criminal brown gypsy from beating This is the true face of so-called `` anti-racist '' !,hate
21325 white Estonians singing patriotic and just beautiful songs .,noHate
Are there any whites left in that craphole or have they all been killed ?,hate
it is down to the EU.we have no say anymore on any piece of scum coming into the country as long as they have an EU passport,hate
If it continues England will become a cesspool of sh * * pardon my English,hate
???,noHate
Hope to talk to you later .,noHate
I do n't look down on these degrees as much as I used to .,noHate
i live up the block from a muslim mask. every friday they rule the streets. they think that they can walk anywhere they want and if your are white they give you a look just klike when you pass through a black neighborhood. they are the same as them nigs,hate
"I do n't watch any movie that is made for blacks or has a black in the lead roll and I ca n't find humor in the black race with all of the crime they comit against the white man , to hell with them .",hate
"So am I , I 'll let them sit there for days before I reply , even if I 'm hanging out here .",noHate
Hiya i 'm new here and sick of watching my country become infected with the disease of multiculturalism .,hate
Soon in their minds it is ok to date them and have children with them thus polluting our great race and pushing us further toward extinction .,hate
Why should we try to civilize that which cannot be domesticated or civil ?,hate
"I guess I 'll just stick to homeschooling my kids , when and if I have them ...",noHate
"A Kosher slaughter , blessed by every Rabbi under the sun .",hate
Only they do and all their brainwash followers .,hate
Never date outside your race Someone on this site has it on their posts,noHate
"Unfortunately for the poor Japanese , their island is getting very crowded now .",noHate
Football by itself is not bad .,noHate
Watching those videos makes me feel like im going to explode with hatred for those creatures .,hate
"I saw on news here in Kentucky a few days ago where someone had spray painted `` KKK '' on the side of a black School security officer 's house , they hadnt found who did it but they said it was a possible hate crime .",noHate
"That is correct , White men with guns built America , and it will likely take White men with guns to take it back .",noHate
What a load of crap.Water are ye people for real Ireland is been taken over by non Irish and this rubbish .,hate
Well they have got to be more aware then the idiots we have over here absorbing all the bs with there little sponge brains .,hate
The Book of Revelation !,noHate
Their aggressiveness is a massive reason for their ' success ' .,hate
There are London areas that could be described as nothing less than little islamic republics .,hate
Wasn't meaning yo be hard on you or Knightrider1961 .,noHate
With the help of God we will be congratulating an Irish WN Party on their election success in the not so distant future .,noHate
Just shows how thick they actually are one farmer-one bullet they will just end up starving and asking WHITES to feed them,hate
The blood of hundreds of white women is on the hands of white liberals .,hate
"Most of them dont even work , but I have no doubt that some of them will be pushed into high positions in society .",hate
"They must have trapped her somehow , and sent her thru the network to Israel .",hate
I looked at the discussion and it is obvious that we are outnumbered by non-whites and race traitors and follow the other followers types .,hate
I dont drive a Ford but I got a s-10 with a 6 inch lift on it 34 inch mickie thompson swampers rollbar and the kc lights on the rollbar .,noHate
"Better yet , make her the poster child for Black Resettlement ! Spending her days digging for grub worm dinners would actually be good for her .",hate
When ever I see these white children murdered by these sub humans it makes me so angry I could cry .,hate
I would n't marry a asian even after cirurgy .,hate
the black security guards are racist and look evil and are always giving dirty looks to white customers especially polish customers !,hate
Got a great deal too .,noHate
Sveiks !,noHate
"`` The aim and final end of all music should be none other than the glory of God and the refreshment of the soul . '' - Johann Sebastian Bach `` Where there is devotional music , God is always at hand with His gracious presence . '' - Johann Sebastian Bach",noHate
"The guy giving the beating could very possibly be a Hispanic , I would have to see a much clearer video before I 'd give him the honor of calling him White .",noHate
Powerful video that shows how primitive these beasts are .,hate
"I wish you luck , is it any wonder Jew males lust for our White women ?",hate
Every day they erase more of our past .,noHate
"Fags are a big problem , they are recruiting our kids , in the schools that we pay for .",hate
Most if not all of the whites at my school are complete race traitors,hate
The next generation of humanity should thank you for not having been infected with your flawed genetic structure .,hate
It really pisses of the liberal leftist,hate
When I see this stuff nowadays it makes me wa n't to punch the white people who fall for it .,hate
What a joke .,noHate
It will be the same here when the goodies run out .,noHate
"The Chechen beast was one of those who committed killing in the name of Allah against our Russian brothers , like the theater in Moskva .",hate
I simply go over their research and then regurgitate the info .,noHate
But what do you expect with a homosexual Muslim as the mayor ?,hate
And they are both singers in Leaves Eyes .,noHate
Responding to edit comment .,noHate
Then we need to establish a national day of mourning about past traitors and the harm which they caused to our people and the whole nation .,noHate
Egyptian TV Host : The Jews Are Using the Holocaust to Suck the Blood of the Germans - YouTube,hate
"im a 21 year old white woman , mother of one 2 year old boy. i have been looking for others like me in oregon for quite some time now and have ony found a few .",noHate
"But you must know that caucasians is not like blacks , they just animals and subhumans .",hate
"Blacks and mexicans were represented thoroughly. do yourselves a favor , shoot your t.v. !",hate
Here you would be in and out of the ghetto in prob under a minute .,noHate
The Jews say they are The Chosen Ones The Blacks say they are the original Hebrews Israelites Our worst enemies want to be us and we refuse to accept that we are HIS ! ... and so it goes ..,hate
There are many alternatives to adopting little mud babies.There is srrogate mothers and invitro fertilization are just two.If these are not financialy possile then wait till it is .,hate
"Lots of companies moving in , many focused on energy sector .",noHate
I got one during this last school year and I through it away .,noHate
Literally !!!!,noHate
Get over watching monkeys throw a ball around and get a real hobby for God 's sake .,hate
"if you have enough money for high speed internet to download it you can probably afford the book ! you have your priorities mixed up if you have high speed internet which you 'd need to d/l it but cant feed your kids , lol .",noHate
"Yah , I guess there is !!!",noHate
"Here is your logic : some whites are corrupt whores for Jewish supremacists , therefore Whites should not oppose Jewish supremacist extermination of all Whites and JS efforts to control humanity 's future .",hate
"Thank you so much for this , one day I hope the next generation is spared from the travesty brought by Public Schools , and private ( Jews can easily fake being Christian ) .",hate
Because the communist party was almost all jew out to kill any gentile that stood in their way or had property that the jew - communist wanted .,hate
Anyone white person would if they knew the truth .,noHate
Fathers of Sweden watch out for your daughters ' safety !,noHate
ye i heard that one to. or ' we all came from Africa any way so why dose it matter ' ........ my answer ? ' we evolved to be better',hate
I 'm beginning to wonder with all your posts defending the greatest race-traitor and puppet-of-Jewry that Great Britain has ever produced .,hate
"Jackson 's retrial took jurors back to the events of late summer 1977 , when two widows , Vernita Curtis , 81 and Gladys Ott , 90 , were beaten and strangled to death during burglaries a week apart in a Long Beach apartment building .",noHate
HIV/AIDS is n't killing them off fast enough .,hate
"Yes, before age of 10 i never saw an negro in real life , when i moved to Holland i was horrified by the amount of non-whites .",hate
Got to laugh at how he is saying about how forward thinking and how much egyptians love democracy when they are about to hand power to a bunch of hard line Islamic fundamentalists who are more backward and worse than the last mob you Could n't make it up,hate
"I can honestly say that I have minority friends , and would n't hesitate to deal with the harsh reality that they must be deported .",hate
"If you look at an Alaskan malamute and a timber wolf that are two different species , they look a lot more alike than say a Congolese and a Swede .",hate
http://www.census.gov/geo/www/mapgal...inPD-1990.html,noHate
Beautiful Sweden poisoned by Arab/Muslim trash .,hate
"Vail Pass and Eisenhower Tunnel - YouTube Vail Pass ( elapsed time video , with John Denver music ) GTA video gameplay , crimmigrant driver wields heavy haul truck through Los Angeles. gta san andreas - Mcdonalds truck - YouTube",noHate
"Looking at your guys situation makes me realise how lucky I am that my high school is 100 % white however even in my remote countryside community there are more and more black 's moving into the area , and their kids .",hate
50 shades of brown,hate
"They re more like a virus than human ; they get inside a country and they taint it with their sickness and pretty soon the whole country goes to hell while the government tries to ban video games because knife crime , rapes and mindless violence has skyrocketed .",hate
Love how the ape loses so starts going on about how he 's going to shoot him .,hate
My advice would be to pray about it and ask yourself what sort of person is she now .,noHate
Ohio in general looks to be in bad shape .,noHate
Innocent whites including white children all murdered by heartless groid savages .,hate
This land was founded by whites for whites and I prefer to punish the symptom of urban decay rather than just its zowg figurehead .,hate
"Lumberton , Texas in Hardin County .",noHate
"http://news.bbc.co.uk/2/hi/africa/6217719.stm There you have it folks , Nigeria is acting like one big ghetto queen squeezing out more baby negroes for a bigger handout from the government .",hate
She was probably the victim of a groid rage rape also .,hate
Mexicans have plenty of open space in their countries to develop they do n't need ours .,hate
The point is not the throne itself but the reason for it and what it represents to the apes fighting and tramping for it .,hate
I'm going to post this one a bit early just in case .,noHate
Once the negros start coming in bunches it will be a hellhole and the whites will have to leave again and start a new community .,hate
"I do n't know if the person that said that ever leaves the house , but all I ever see are black guys and Mexicans everywhere .",hate
"But unfortunately , Maine 's become the dumping ground for Somalis and other African trash .",hate
* Unsubscribed * Off to the SA threads .,noHate
Einherjer88@hotmail.com,noHate
"There comes a moment when we must act , regardless of the consequences .",noHate
At least they had someone who would have lifted a weapon towards Terrorist or Commies that would have hurt them ... hehe,noHate
"Besides Thanksgiving , to me , is just an excuse to mess around and eat as much turkey , potatoes , corn , stuffing , and cranberry sauce as I can .",noHate
I 'd like to see Iran wipe Israel off the map .,hate
Honestly if they ever fired them I 'd expect they 'd do more damage to themselves since the average negro lacks the intellect for basic firearms training .,hate
"I registered to make comment but there appear to have a critical error , o dear .",hate
"Yes, he has a red Firebird so the wigger 's parents thought he had promise just like all those fictional characters on t.v.",hate
It was ' National Song and Dance Festival ' in Estonia today and yesterday .,noHate
May they be put away for good .,hate
YouTube - Woman Opens Strip Club In Trailer Home For Teens And Offers Lap Dances To Children !,noHate
"In order to help increase the booklets downloads , it would be great if all Stormfronters who had YouTube accounts , could display the following text in the description boxes of their uploaded YouTube videos .",noHate
Truly sad ...,noHate
Has it gone or can I just not find it ?,noHate
Something must be done to halt this terrible wave of immigrants entering Britain .,hate
Who said the Bible was written by the Jews of today ?,noHate
"Traditionally, there have always been a lot of them despite the fact that NE Asians are the extreme version of our breeding strategy .",hate
The non white homelands have so much trash and crime in them that non whites mainly choose to stay away .,hate
I hope I see the day when thease worthless pieces of crap are OUT OF HERE .,hate
I can only pray this babboon mongoloid did n't have any children so his seed will not continue on on this Earth .,hate
"LOL, pillow count means nothing , there are actually five ...",noHate
"Yeah, when I was younger there were some old lady in my street and kids thought that she is Baba Roga , so one day I waited for her with some pipe , I almost boke her backs ...",noHate
Then your gonna see what hell is like .,noHate
All of this diversity crap needs to stop soon whites will be extinct and I 'm not living in a brown world I want a clean white world,hate
Blacks Will Lose Race War - YouTube,noHate
"They all look nonwhite , look closer .",noHate
The have no concept of honour or of having respect for the feelings of others .,hate
I put you on my msn. dont accept if you dont want too,noHate
What typical brainwashed liberal lemming .,hate
"Homosexuals ca n't undo the fight against White Genocide , only hypocrites can , I 'd rather have openly homosexual men on our side than closet fags or sexual deviants who skulk about pretending to be something they 're not .",hate
He is just telling the truth as usual the filthy jews need to clamp down as soon as possible .,hate
Perhaps this person would care to use the PM facility and let others know how happy he/she is to join WS .,noHate
"lookin for white friends online ! i 'm from mexico , and i would like to meet people interested in nordic black metal and the holocaust so we can send mails to each other. : attack",noHate
Neither an attack on his nose ( which I ca n't distinguish from my own BTW ) .,noHate
How much you want to bet it is n't a black male running this operation You can count on white people to be very innovative,hate
There are 150K or so on SF and the other hundreds of millions just walk thru life with blinders on .,noHate
"Elevating the negro to iconic status , is bad business .",hate
See UnityND.com .,noHate
http://www.righttomarch.com/,noHate
"I hear some great radio ads for National Vanguard , but only during the American Dissident Voices shows .",noHate
"That 's about the same as saying the sky is blue , or the grass is green .",noHate
This is the main logo when you sign on to their website,noHate
"You 're treading on very thin ice , jimmy .",noHate
"Thanks for your support commando 88 , pm me and we will talk .",noHate
They are supporting the destruction of their future generations .,hate
Charlton Heston is rolling over in his grave knowing an ape has been elected to the white house .,hate
I think you should write a book as well .,noHate
There are few places nowadays where there is freedom of speech so you 'll enjoy posting here !,noHate
Niggas do n't wait in no lines .,hate
How can the Jews be the same as God 's people when they are tring to kill them ?,hate
Will bust ribs and penetrate heart .,noHate
I need something translated but I would settle for a `` live '' internet sports channel that carries lithuanian or latvian sports .,noHate
"Do you notice how the primate 's , I mean black kid 's arm is around the white girl ?",hate
We'll never give up ... The jews can keep trying opening our borders and sending their third world minions after the European people but WE WILL NEVER CAPITULATE ...,hate
I believe it started to become cooler not long after they arrived but the Nordic settlement was in fact expanding ( to the north ) until they encountered the Inuits .,noHate
See the threads : Over 1800 gathered to honour Daniel !,noHate
"Their identity is the Liberal Tribe , and they seek out and morally support other members of their tribe .",hate
You have to defend yourself with riots happening across the country and invaders flooding across our borders .,hate
How on earth can they be Swedes when they are the result of race treason ?,hate
For analogy : you put feces in your soup you put water in your cars gasoline tank you feed your livestock poison You water your plants with salty water Giving your kids FAS You do n't need to punish these people .,noHate
Tell your friend he wins ; I 've now decided to make a video documentary about the Jewish Ritual Murder of Andrei Youshchinsky .,noHate
Ireland does n't need arab scum like these .,hate
One day when true people come to power in italy they will have to go back where they came from ! Italy to Italians !!,hate
"YouTube - Orangutan Towan Paints at Woodland Park Zoo , HD",noHate
The downfall has begun ...,noHate
Was n't Beethoven a Native American ?,noHate
"If making a personal profit from government is even in a politician 's or activist mind they are good for nothing , but kindling .",noHate
Whiter than Armenians for sure .,noHate
Is so readily happy to `` welcome '' .,noHate
Dumb ass that was just more Jew propaganda that shows their ( and ) your idiocy now go away with your bulls@ $ t,hate
No white person should ever be compared to a black and other useless races .,hate
Look what happens when Whites leave black Countries alone to do what they do naturally The blacks in White Countries today should be on their knees thanking Whites for trying to civilize them,hate
"Notice how not one of these Hungarians gave one good source validating their preposterous claims , they just came here to complain and start name calling , just as stupid liberals do .",hate
"http://youtube.com/watch ? v = gdYJjU-Nx6E The maker of this video may be Jewish , not sure , he has a big kosher-lookin nose .",hate
"If you need some help and I could provide it , send me a PM .",noHate
"That sounds promising , and hopefully in time there will be a couple of more days added and the extra hour too .",noHate
Many of them are doing just as their masters desire .,hate
"Was walking through tooting broadway in SW London a couple of weeks ago .... was the only white dude around and all I could see was nigs and pakis walking down the street spitting , made me feel ill !",hate
"http://www.latimes.com/news/local/la-me-death-penalty2-2010apr02,0,5824772.story * * * * * * * * Kevin Bautista , a 21-year-old black , was shot and killed Saturday , March 27 , According to an LAPD news release , Bautista was sitting in the passenger seat of his car about 6 : 15 p.m. `` when a man and woman drove up in a gray sedan and stopped at the southeast corner of 84th Street and Harvard Boulevard . ''",noHate
Calmady Children .,noHate
i am a white nationalist of a christian faith but still am a white nationalist for racial survival the anti racist christians are the true chirstians ememy,hate
And most people will laugh and shake their head at you when you tell them that Jews are a very dangerous group of people .,hate
There are really few Jews and millions of those bastards on the body of our country .,hate
"Yes, but it is very difficult to obtain firearms in New York City .",noHate
I did n't realize we were offending you by pointing out how often Asians and Jews get surgery to look more White .,hate
"It 's another way to destroy Hungarians on top of promoting * * * * * * music , race mixing and pornography .",hate
I bet you can see the Mexic-ants from space with the Google Earth. photo ants on picnic table CYF salt of the earth,hate
You mean adoption of this new found identity which in all reality is a Greek identity .,noHate
"My wife 's favorite place in Ireland is in the Kingdom , Cloghane Village , and O' Connor 's pub. I hope that place has n't been invaded .",hate
Sir Thomas Lawrence .,noHate
http://www.nogw.com/download/ _ 07 _ il _ kidnap _ aussie.pdf,noHate
The jew is attempting to make the condemned beg for the noose .,hate
"'Civilization ' is a very contemporary , yet PC-free history of Western Europe .",noHate
That is a good article .,noHate
"My daughter said she had only touched the apeling 's back , not hit her .",hate
Beware of the falling house prices that Negroes bring with them ( another reason why you 'll never find them living near politicans ) .,hate
I hope you all stick around on SF and become involved/stay involved with nationalist politics .,noHate
Might I suggest this documentary series for getting rid of europhobic tendencies ?,noHate
Not only is this case typical of the feral sub humans but it 's a perfect example for our people of how totally out of control they are and that they cannot be allowed to remain among us .,hate
"They do it because they know it pisses the whites off , by showing disrespect as such for other people shows they have no respect for themselves .",hate
"I went to Oklahoma for thanksgiving and spent over a $ 100.00 on their ( Amish ) pies , turkey and other food .",noHate
Maybe they 're confusing the fact that we 're tired of LIBTARDS on TV for our being tired of White people .,hate
"I'm looking for a white enchanting girl , That I can have by my side , . through the thick filth that us americans go through and the best of times aswell .",hate
So that excludes uneducated third worlders .,hate
"No matter how many times I browse through it , its impact does n't lessen .",noHate
"Make a visit here , lad . .",noHate
I remember when that happened ..... could n't have happened to a nicer guy .,noHate
"Unfortunately I have n't kept up with this maddening story , but have hate crime charges been filed against these black apes ?",hate
"I do n't have a problem with English working or living in Ireland , maybe it was your personality that was the problem .",noHate
The Chinese have really built their country in the past few decades and that included lots of high speed rail .,noHate
"Well then , that makes the fact these scum are sending millions of their kin to my country , taking jobs from the White inhabitants , killing our people and mongrelizing our race all alright then .",hate
"The reason y i dropped out of school was because either , i drop out or i got kicked out. i always fought with the packi gang at my school. and i was never going to back down. in auto class i handed the n * igger a monkey wrench and told him the name suited him aswell. all the non-whites hated me because i wore a `` nazi punk '' and a `` white pride '' patch on my coat and backpack. a got in a fight with some black chick and i won. the next day her butchy sister caught up with me in the hall way and said that after school her and i where gonna fight. i told her `` no if u wanna fight , we 're gonna fight right here right now. not after school where u can gather the rest of u monkies up so it 's an uneven fight '' . she huffed and stormed away. - we neevr did get to fight the last straw was the first day of school i had a forgein substitute teacher. so i was talkin and and this guy was on my case about turning around and getting my work done. he had to ask me this a few times and then finially i stood up and said , `` look , i 'm white ur black , i should be telling u whut to do ! '' ohhh man , my guidance conslour did n't like that nor did my principal .... ( this was n't at school this happened a month or so ago but these people went to my school ) i had a n * igger try to rob me at knife point in the forest while his gf sat back and watched. my friend came by and jumped him and i personally went after the chick. she ran and i caught up to her and smashed her head into a tree. thats only some of my stories ....... i got a few more but i dont have the time",hate
The link in my sig lne `` Christian Identity and Identifying the jew '' explains this,hate
WE CRIPPIN NIGGA .,hate
"I also do n't want harassment in real life , which is why I keep my views limited , so I do n't want my daughter saying things like `` My parents do n't want me playing with blacks '' .",noHate
"Liked the music , by the way .",noHate
I just have to study for three and a half more years until I start working on a masters in electrical engineering Feels like it never ends .,noHate
I dont know Birmingham but generally the best places to go for a haircut are up market and more importantly old fashioned hotels .,noHate
This filth is a sectarian British song not an Irish folk song the sort of scum who wrote and admire this filth have no place on a WN forum yet alone an Irish forum,hate
everyone who doesnt speak Romanian and look as in WHITE get out of Romania a move back to your homeland .,hate
They bred with inferiors creating these mongrels,hate
- Eric,noHate
So why are n't you complaining about the other mud races ?,hate
"Liberals will have you believe it is so they can blame Whitey but it 's all such a mixed hell hole , all that breeding with arabs ....",hate
When the populations are not seperated racial mixing occurs and that is genocide .,hate
"Anyways , smearing a single DNA stem with black DNA is horrible .",hate
It 's a symbol demonstrating a lack of oxygen to the head of all its members .,hate
Nice to know that are still a few men out there who `` have a pair '' .,noHate
Homepage < < Go and check out what your homies are up too .,noHate
com/watch ? v = kBD6Gm6VoDM Then watch 8 min. Obama at AIPAC @ youtube .,noHate
ya my little sister doesnt like little black girls when they try to talk to her she pulls a disgusted face and says why are you black ?? and i laugh and say `` Maggie dont talk to her '',hate
Can you please give the info on the facts of who the Celts were or direct to where the information is ?,noHate
Thank you in advance. : ) Download the youtube `` description box '' info text file below @ http://www.mediafire.com/download/gxv2b33v37la6pz/Booklet % 20Description % 20Box % 20Info.txt,noHate
"Most school age youth cannot access the main K K K site from their schools , but they can access Stormfront .",noHate
This is black behavior as well .,noHate
Wolf 278,noHate
"Sounds like they might have some Palestinians of either the Muslim or Judaic variety in the woodpile , throwing stones like that .",hate
My wife had to spend time at the UP Hospital in Philadelphia - thank God I was licensed to carry in Pa. Downtown Philadelphia is becoming a cesspool .,hate
These ' people ' are just scum .,hate
The attacks are coming from wankers who live in England maybe even born here and have little or no English ancestry and call themselves British .,hate
"My glock not special parts just night sights , take home shake dry , clean when your bored .",noHate
Lots of free goodies for all the new SF babies !,noHate
So you use the jew run media brainwashing service to give credit to soo few black people ?,hate
"Remember to not make it just about being anti-everyone else , but to also make it about them being proud of their own family heritage .",noHate
A mate from school started talking about this group .,noHate
Let the non-whites pollute their bodies with that garbage .,hate
"YouTube - Black mugger sentenced to 75 years in prison for hate crimes against elderly women YouTube - Cop 's mace vs black guy 's kung fu YouTube - African American man sprays semen on white woman in supermarket YouTube - White guy beaten nearly to death by Blacks for dating a Black woman , no hate crime there YouTube - Broadcast Yourself .",noHate
"Kiss uncle Samael for me , will you ?",noHate
Send them all to Afreaka And sink the farkin boat !,hate
You should try the same thing where you are at and build things up there,noHate
Full MSRP is $ 1108 for the night sights model .,noHate
hope one day i will be able to see finland withouth those * * * * ing monkey ass soumalian ... im glad .. because finland has lowest immigrate in europe ..... kick those * * * * ing soumalians ass .....,hate
Nope.,noHate
When they refuse to convert to Islam they will learn at the end .,noHate
"Well atleast the guy was 64 years old , hopefully he 's too old to bear any half caste children with that Filipina woman .",hate
Wow ..,noHate
we're out just gotta keep looking i live in east texas out here its just as hard for us to find single white men,noHate
In late June early July with friends and family ..,noHate
"When I hear the term `` American '' , I think of yahoos who are every color of the rainbow and who start wars in the Middle East for Israel 's benefit .",hate
And it stunk like refer and black sweat .,hate
London nowadays is more dangerous for tourists than Zimbabwe Like the above poster says do n't go to London just go someplace else that is much better like Bath or Stratford Upon Avon ( Shakespeare Birthplace ) Londonistan is a craphole,hate
if he 's a coke addict - try to find out where he gets the coke from and rat him out .... you will be a hero and can have your own party while all the nigs are behind bars,hate
"A non-citizen shall have no such rights , but also no such duty .",noHate
