,text,label
10128,white house / black market via,not_hate
7551,. is a hate group . #marchagainstsharia is a hate rally . full stop .,not_hate
5206,maybe you could help me with that mr . wallace sir .,not_hate
9013,she recently said old white southerners need to die off before racism goes away,not_hate
3023,alveda king is a saint and an absolute patriot . christian  pro-life  and just a very rational  good person . honored to be on her side .,not_hate
3786," of course .  "" those people "" "" . "" "" they "" "" . """,not_hate
17374,unite the scum of the they have no place in society #equalityforall #lgbt #jewish #muslim #british,not_hate
11446,dr . william pierce : george lincoln rockwell  a national socialist life |: via,not_hate
13522,one power specifically granted to the president is control over immigration .,not_hate
10412,american conservatism managed to kill both body and soul .,not_hate
5875,brutal black-on-white abduction and murder of a little white girl in ms,not_hate
5659," oops mt : baker in court for refusing gay couple  "" exemplifies need for rfras says . "" "" """,not_hate
1814,white girl bleed a lot : the return of race riots to america va,not_hate
9243,yeah ! who cares what the people think ! let's just have a psycho dictator tell us what to think !,not_hate
7751,fair is a racist hate organization .,not_hate
2322,i wonder how many of those shootings involved white cops or klansmen,not_hate
11465,fair leaders have ties to white supremacist groups and eugenicists and have made many racist statements ...,not_hate
1568,oh charlottesville,not_hate
9371," which  "" violent actions & rhetoric "" "" from james white are you referring to ? ? """,not_hate
10674,ji the game has just began hope it doesn't turn out to be 20-20 matchonly can wish u best of luck,not_hate
12734,the meltdown milo triggered at berkeley was very positive for the altright as well .,not_hate
1478,keep up the fight for our people  and never back down .,not_hate
13479,national-socialist compassion  part 2 via,not_hate
2493,or no power w / white people as the jews have ~ who are a caucasian people,not_hate
5890,campuses are inherently anti-white / anti-free speech.they dont need to be actively attacking for us to act . once we act  they show their hand,not_hate
8654,did the media show that pic w the teal shirt ?,not_hate
7622,abortion in the us is a coin toss : heads it is white  tails it is non-white,not_hate
6554," abc news video :  "" young and racist "" "" - white separatist movement's rising star | read more : """,not_hate
7904,it's a good thing that doesn't want to gut medicare and social security like paul ryan #nrorevolt,not_hate
15869,africa violence intensifies in melbourne via,not_hate
15284,listened to the podcast last night - based show hunter - respect,not_hate
15864,actually  i think it is much more attributable to their isolation and lack of over-population than anything else .,not_hate
3525,the alliance defending freedom is not a hate group . learn more here :,not_hate
3149,dr . kevin macdonald trump  identity politics & political correctness #makeamericagreatagain,not_hate
1103,15 year old white danish girl blinded by african muslims in hate crime | read more : via,not_hate
17093,listen to the trump song on youtube by jeannie jones in 2016 . i predicted he would win and jumpstart the 2nd industrial revolution with unprecedented economic growth ! it is silly though .,not_hate
10893,the #trucons who are wailing today about tranny restrooms put dennis hastert in charge of the house of representatives,not_hate
18937,thanks hunter  i'll watch the replay.thats the answer i was hoping he would give . he should always use that on gotcha questions .,not_hate
17784,collective exhale after high court announcement #neilgorsuch,not_hate
7262,the racial murder and rape of white women in america via,not_hate
1888,you're not understanding . the alt right should have expected this  that ant,not_hate
12504,life does not forgive weakness ! - adolf hitler #swrm via,not_hate
2640,there are 5.5 white guys in the game right now #fundamentals,not_hate
3942,and dr bill warner,not_hate
18924,st . louis hammer attack video : they are running up and down the street screaming kill the white people and y ...,not_hate
3395,nearly 3 million hindus were never accounted for and are presumed dead . genocide to describe .,not_hate
851,where did i say that ? nonsense . i said his call against multi-culturalism . and many of your fellow priests in the us are not white,not_hate
6105,it's never a race issue unless it's a white guy . bigoted statistics . read the constitution  please .,not_hate
10556,hero of the white race : arthur jensen  passes away . #news #race #aryan #psychology,not_hate
11482,german panzer tank wrecks recovered in bulgaria | read more : via,not_hate
1100,100 % agree . ' whites = more iq '  if true  is a moot point : intelligence is but one dimension of humanity . very reductionist approach to life .,not_hate
17427,white people are human so they would be included . you have offered no clarity . i still don't see why the color of human matters .,not_hate
3574,they could care a less about real results  only the impression that they are their cham,not_hate
5630," alt-light =  "" ideologically vacant people out to promote themselves ! "" "" ... nice ! i couldn't agree more ! """,not_hate
7668,audio : anti-racist threatens white nationalist with violence on radio show,not_hate
2996,: why don't you educate yourself on what islam really teaches . and get a clue,not_hate
