,ID,Text,Hate,HD,CV,VO,REL,RAE,SXO,GEN,IDL,NAT,POL,MPH,EX,IM
2819,2251,Justin Trudeau is completely insane. https://www.youtube.com/watch?v=XSe3vQCRXvI,0,0,0,0,,,,,,,,,,
2820,2251,Justin Trudeau is completely insane. https://www.youtube.com/watch?v=XSe3vQCRXvI,0,0,0,1,,,,,,,,,,
2976,2344,"Trump releases #MAGA diss track in response to Eminem. The washed up, white boyfriend of Dr Dre.",0,0,0,0,,,,,,,,,,
2978,2344,"Trump releases #MAGA diss track in response to Eminem. The washed up, white boyfriend of Dr Dre.",0,0,0,1,,,,,,,,,,
3049,2373,"hahaha, wouldnt have a clue how a boy who has been molested by a priest would sound, im guessing ur speaking from experience tho?",0,0,0,1,,,,,,,,,,
3050,2373,"hahaha, wouldnt have a clue how a boy who has been molested by a priest would sound, im guessing ur speaking from experience tho?",0,0,0,0,,,,,,,,,,
3421,2695,The Obama's only know how to lie. http://toprightnews.com/michelle-o-tries-to-explai...,0,0,0,0,,,,,,,,,,
3422,2695,The Obama's only know how to lie. http://toprightnews.com/michelle-o-tries-to-explai...,0,0,0,1,,,,,,,,,,
3731,2881,"It’s been a while since I’ve read The Inferno, but IIRC the afterlife awaiting Flake (and McCain for that matter) involves him being frozen in a lake up to his eyes and unable to grieve over his betrayals.",0,0,0,0,,,,,,,,,,
3732,2881,"It’s been a while since I’ve read The Inferno, but IIRC the afterlife awaiting Flake (and McCain for that matter) involves him being frozen in a lake up to his eyes and unable to grieve over his betrayals.",0,0,0,1,,,,,,,,,,
3774,2907,The left make trump out to be way more powerful than a president really is. Don't they know that the president's job (and what Trump has been doing) is to enforce the laws as passed by congress? Immigration law is clear about what the president's job is at the border so unless they can change the laws they need to shut up and deal with it.,0,0,0,1,,,,,,,,,,
3775,2907,The left make trump out to be way more powerful than a president really is. Don't they know that the president's job (and what Trump has been doing) is to enforce the laws as passed by congress? Immigration law is clear about what the president's job is at the border so unless they can change the laws they need to shut up and deal with it.,0,0,0,0,,,,,,,,,,
3876,2963,Theee assholes walk into a bar...,0,0,0,1,,,,,,,,,,
3877,2963,Theee assholes walk into a bar...,0,0,0,0,,,,,,,,,,
3919,2986,Oh dear! After people donated several years ago. RCL finally delivered the product which was declared by everyone who saw it as 'Shit'. The ZXVega+ debacle is worth looking as those who brought RCL's questionable behaviour into the public eye were often trolled and in some cases doxxed for doing so. https://www.bbc.co.uk/news/technology-45024267,0,0,0,1,,,,,,,,,,
3920,2986,Oh dear! After people donated several years ago. RCL finally delivered the product which was declared by everyone who saw it as 'Shit'. The ZXVega+ debacle is worth looking as those who brought RCL's questionable behaviour into the public eye were often trolled and in some cases doxxed for doing so. https://www.bbc.co.uk/news/technology-45024267,0,0,0,0,,,,,,,,,,
3937,3023,"Haven't been around here enough to notice, but it seems Paul has been released from his BS imprisonment.",0,0,0,1,,,,,,,,,,
3938,3023,"Haven't been around here enough to notice, but it seems Paul has been released from his BS imprisonment.",0,0,0,0,,,,,,,,,,
4008,3077,"John Kerry couldn't take out W in the 2004 Presidential election, so how in the hell does he plan to defeat the most popular Republican President in history?Hope he runs.  It would be an easy victory.https://www.cbsnews.com/news/john-kerry-wont-rule-...",0,0,0,1,,,,,,,,,,
4009,3077,"John Kerry couldn't take out W in the 2004 Presidential election, so how in the hell does he plan to defeat the most popular Republican President in history?Hope he runs.  It would be an easy victory.https://www.cbsnews.com/news/john-kerry-wont-rule-...",0,0,0,0,,,,,,,,,,
4013,3078,So David Brock's shitposters are back?I haven't noticed.,0,0,0,1,,,,,,,,,,
4014,3078,So David Brock's shitposters are back?I haven't noticed.,0,0,0,0,,,,,,,,,,
4160,3194,"Welcome to our humble abode, Alex Jones and InfoWars.  I'll miss watching you on my big-screen TV with the built-in app.  Monopolists be damned!",0,0,0,1,,,,,,,,,,
4161,3194,"Welcome to our humble abode, Alex Jones and InfoWars.  I'll miss watching you on my big-screen TV with the built-in app.  Monopolists be damned!",0,0,0,0,,,,,,,,,,
4322,3445,Getting an android phone next time. Fuck apple for not allowing @gab onto their precious app store,0,0,0,1,,,,,,,,,,
4323,3445,Getting an android phone next time. Fuck apple for not allowing @gab onto their precious app store,0,0,0,0,,,,,,,,,,
4418,3505,Damn right!,0,0,0,1,,,,,,,,,,
4419,3505,Damn right!,0,0,0,0,,,,,,,,,,
4579,3603,That is MY MOTHERFUCKING PRESIDENT!!!  https://twitter.com/realdonaldtrump/status/1021234... #MAGA #Trump #IranIsNext,0,0,0,1,,,,,,,,,,
4580,3603,That is MY MOTHERFUCKING PRESIDENT!!!  https://twitter.com/realdonaldtrump/status/1021234... #MAGA #Trump #IranIsNext,0,0,0,0,,,,,,,,,,
4587,3605,#Trump saying he doesn't trust our intelligence agencies:  TREASON TREASON TREASON  Even though we've seen their texts and emails and know these intelligence agencies are all guilty of treason themselves. HRC selling Uranium to Russia:  ALL GOOD This is why nobody takes these retards seriously. #POTUS calling out the CIA/FBI is patriotic if anything.,0,0,0,1,,,,,,,,,,
4588,3605,#Trump saying he doesn't trust our intelligence agencies:  TREASON TREASON TREASON  Even though we've seen their texts and emails and know these intelligence agencies are all guilty of treason themselves. HRC selling Uranium to Russia:  ALL GOOD This is why nobody takes these retards seriously. #POTUS calling out the CIA/FBI is patriotic if anything.,0,0,0,0,,,,,,,,,,
4594,3607,"Nice try Sony, I wouldn't have wasted my time watching your SJW, pedophile bullshit movies for free.  This screams publicity stunt anyways.  https://www.bbc.com/news/technology-44711274",0,0,0,1,,,,,,,,,,
4595,3607,"Nice try Sony, I wouldn't have wasted my time watching your SJW, pedophile bullshit movies for free.  This screams publicity stunt anyways.  https://www.bbc.com/news/technology-44711274",0,0,0,0,,,,,,,,,,
4917,4202,"Fuck off, we do not need more regulations and red tape. Choose a competing brand instead of asking for the government to come save you.",0,0,0,1,,,,,,,,,,
4918,4202,"Fuck off, we do not need more regulations and red tape. Choose a competing brand instead of asking for the government to come save you.",0,0,0,0,,,,,,,,,,
4966,4260,Change My Mind: Trump Is Not A Fascist https://www.blazingcatfur.ca/2018/09/01/change-my-...,0,0,0,0,,,,,,,,,,
4970,4260,Change My Mind: Trump Is Not A Fascist https://www.blazingcatfur.ca/2018/09/01/change-my-...,0,0,0,1,,,,,,,,,,
5044,4355,"President Trump has a little can of whoopass for Cuba, Venezuela and Nicaragua...By Monica Showalter President Trump has always been adept at spotting talent, and he's reeled in a big one with his new appointment of Mauricio Claver-Carone, to the top White House post on Latin America.  https://www.americanthinker.com/blog/2018/08/presi......",0,0,0,0,,,,,,,,,,
5048,4355,"President Trump has a little can of whoopass for Cuba, Venezuela and Nicaragua...By Monica Showalter President Trump has always been adept at spotting talent, and he's reeled in a big one with his new appointment of Mauricio Claver-Carone, to the top White House post on Latin America.  https://www.americanthinker.com/blog/2018/08/presi......",0,0,0,1,,,,,,,,,,
5062,4359,We are trying very hard to keep a straightface but we had to add this news. An animal rights advocate wants to place a roadside memorial in Maine to remember thousands of lobsters killed in a highway wreck Weird that they didn't say a damn thing about muzzie s torturing and killing all those animals a few days ago. http://www.dailymail.co.uk/news/article-6115919/PE......,0,0,0,1,,,,,,,,,,
5063,4359,We are trying very hard to keep a straightface but we had to add this news. An animal rights advocate wants to place a roadside memorial in Maine to remember thousands of lobsters killed in a highway wreck Weird that they didn't say a damn thing about muzzie s torturing and killing all those animals a few days ago. http://www.dailymail.co.uk/news/article-6115919/PE......,0,0,0,0,,,,,,,,,,
5353,4667,"In breaking news, Hillary Clinton is still a cold, heartless cunt.",0,0,0,1,,,,,,,,,,
5354,4667,"In breaking news, Hillary Clinton is still a cold, heartless cunt.",0,0,0,0,,,,,,,,,,
5403,4704,I remember talking with cam whores about maths and stuff. Those were the times.,0,0,0,1,,,,,,,,,,
5404,4704,I remember talking with cam whores about maths and stuff. Those were the times.,0,0,0,0,,,,,,,,,,
5409,4707,"I guess this is when you guys say 'karma, bitch', right?",0,0,0,1,,,,,,,,,,
5410,4707,"I guess this is when you guys say 'karma, bitch', right?",0,0,0,0,,,,,,,,,,
5540,4832,This fuckbox,0,0,0,1,,,,,,,,,,
5541,4832,This fuckbox,0,0,0,0,,,,,,,,,,
5558,4866,"Does anyone else get the creeps from seeing that little fascist, David Hogg, in front of a camera or microphone? He wants his rights but you don't get yours. Nah, don't think so.",0,0,0,0,,,,,,,,,,
5559,4866,"Does anyone else get the creeps from seeing that little fascist, David Hogg, in front of a camera or microphone? He wants his rights but you don't get yours. Nah, don't think so.",0,0,0,1,,,,,,,,,,
5591,4883,If he only had a brain too.,0,0,0,0,,,,,,,,,,
5592,4883,If he only had a brain too.,0,0,0,1,,,,,,,,,,
5666,4929,I've been suspended from the #RetardedBlueBird five times now for mocking ultra-Retard #MolesterSulu George Takei. Had my fun. Now back to @Gab for a while.,0,0,0,0,,,,,,,,,,
5667,4929,I've been suspended from the #RetardedBlueBird five times now for mocking ultra-Retard #MolesterSulu George Takei. Had my fun. Now back to @Gab for a while.,0,0,0,1,,,,,,,,,,
5696,4943,When shit-posting goes too far...,0,0,0,1,,,,,,,,,,
5697,4943,When shit-posting goes too far...,0,0,0,0,,,,,,,,,,
5991,5294,"If this little douchebag Hogg really gave as big of a shit as he claimed, he'd get his happy little ass off Twitter because BlackRock owns a really large portion of it. He's proving more and more every day that he's stupid, and really has no idea what he's talking about",0,0,0,0,,,,,,,,,,
5992,5294,"If this little douchebag Hogg really gave as big of a shit as he claimed, he'd get his happy little ass off Twitter because BlackRock owns a really large portion of it. He's proving more and more every day that he's stupid, and really has no idea what he's talking about",0,0,0,1,,,,,,,,,,
6145,5510,"'Act like an adult and use them/don't follow shit that upsets you', YES",0,0,0,1,,,,,,,,,,
6146,5510,"'Act like an adult and use them/don't follow shit that upsets you', YES",0,0,0,0,,,,,,,,,,
6214,5607,"2016: “Putin has tapes of Trump making whores pee on Obama’s bed” 2018: “Oh, we mean that Russia has a news station called RT that seeks to influence people” What a fucking joke.",0,0,0,1,,,,,,,,,,
6215,5607,"2016: “Putin has tapes of Trump making whores pee on Obama’s bed” 2018: “Oh, we mean that Russia has a news station called RT that seeks to influence people” What a fucking joke.",0,0,0,0,,,,,,,,,,
6457,5823,Could you only imagine what Theresa Mays 'OMG I'm cumming!' face must look like?,0,0,0,0,,,,,,,,,,
6458,5823,Could you only imagine what Theresa Mays 'OMG I'm cumming!' face must look like?,0,0,0,1,,,,,,,,,,
6478,5830,How in the hell did Guy Verhofstadt ever survive middle school without being drowned to death in the toilet by his upperclassmen?,0,0,0,0,,,,,,,,,,
6479,5830,How in the hell did Guy Verhofstadt ever survive middle school without being drowned to death in the toilet by his upperclassmen?,0,0,0,1,,,,,,,,,,
6531,5866,Can someone explain to me why people are so stupid? -_- https://deadline.com/2018/08/rachel-maddow-wins-tv...,0,0,0,1,,,,,,,,,,
6532,5866,Can someone explain to me why people are so stupid? -_- https://deadline.com/2018/08/rachel-maddow-wins-tv...,0,0,0,0,,,,,,,,,,
6647,5933,"Been watching some Metallica videos and this one always gets me. There are moments when they are showing Hetfield and the look on his face looking out on the crowd, you can just see the thought 'Holy shit that's a lot of people'.  The helicopter flying around gets me too.  https://www.youtube.com/watch?v=_W7wqQwa-TU&li...",0,0,0,1,,,,,,,,,,
6648,5933,"Been watching some Metallica videos and this one always gets me. There are moments when they are showing Hetfield and the look on his face looking out on the crowd, you can just see the thought 'Holy shit that's a lot of people'.  The helicopter flying around gets me too.  https://www.youtube.com/watch?v=_W7wqQwa-TU&li...",0,0,0,0,,,,,,,,,,
6745,6039,Was Obama Insane? His Actions Related to the Economy Suggest So!   https://nypost.com/2018/01/07/on-the-economy-trump...   #GeniusPOTUS #MAGA,0,0,0,0,,,,,,,,,,
6746,6039,Was Obama Insane? His Actions Related to the Economy Suggest So!   https://nypost.com/2018/01/07/on-the-economy-trump...   #GeniusPOTUS #MAGA,0,0,0,1,,,,,,,,,,
6778,6120,I’m going to go see it just be an asshole and troll everyone else in the theatre.,0,0,0,1,,,,,,,,,,
6779,6120,I’m going to go see it just be an asshole and troll everyone else in the theatre.,0,0,0,0,,,,,,,,,,
6786,6122,"What is with all these dudes claiming that they can't find a good woman? Do you ever leave your damn house? There are single girls EVERYWHERE. But the problem is that you think that you can create a relationship without first starting a friendship. There really isn't a half way point between hookups and monogamous relationships; you either want one or the other. One thing that might help you, is a...",0,0,0,1,,,,,,,,,,
6787,6122,"What is with all these dudes claiming that they can't find a good woman? Do you ever leave your damn house? There are single girls EVERYWHERE. But the problem is that you think that you can create a relationship without first starting a friendship. There really isn't a half way point between hookups and monogamous relationships; you either want one or the other. One thing that might help you, is a...",0,0,0,0,,,,,,,,,,
7209,6472,New video is being rendered at the moment. Got delayed due to some work-related BS. I'll post the link when it's ready. #TheRedExpress,0,0,0,1,,,,,,,,,,
7210,6472,New video is being rendered at the moment. Got delayed due to some work-related BS. I'll post the link when it's ready. #TheRedExpress,0,0,0,0,,,,,,,,,,
7224,6477,"Just saw the stream clip from the Madden Tournament before it was taken down. I know e-sports competitors can be salty and toxic at times, but shooting up the place because you got your ass kicked or were insulted?! Fuck that nonsense.",0,0,0,1,,,,,,,,,,
7225,6477,"Just saw the stream clip from the Madden Tournament before it was taken down. I know e-sports competitors can be salty and toxic at times, but shooting up the place because you got your ass kicked or were insulted?! Fuck that nonsense.",0,0,0,0,,,,,,,,,,
7765,6981,Blue wave? Just a fantasy. I imagine Reagan Democrats now exist under Trump. There is yuge support for Trump from working class families. They make up a sizeable chunk of the electorate. It's the economy stupid.,0,0,0,1,,,,,,,,,,
7766,6981,Blue wave? Just a fantasy. I imagine Reagan Democrats now exist under Trump. There is yuge support for Trump from working class families. They make up a sizeable chunk of the electorate. It's the economy stupid.,0,0,0,0,,,,,,,,,,
7860,7128,What the hell ever happened to @pavlovscat? I liked her.,0,0,0,1,,,,,,,,,,
7861,7128,What the hell ever happened to @pavlovscat? I liked her.,0,0,0,0,,,,,,,,,,
7918,7180,"Which one is you, @1CycoMutherfuk ?",0,0,0,1,,,,,,,,,,
7919,7180,"Which one is you, @1CycoMutherfuk ?",0,0,0,0,,,,,,,,,,
8093,7424,Holy CRAP that's bad. It's seriously feeling like Disney bought Star Wars just so it wouldn't be the biggest intellectual property on the market anymore & they could have Winnie the Pooh take back over. https://www.youtube.com/watch?v=bH_Ws7sA468,0,0,0,1,,,,,,,,,,
8094,7424,Holy CRAP that's bad. It's seriously feeling like Disney bought Star Wars just so it wouldn't be the biggest intellectual property on the market anymore & they could have Winnie the Pooh take back over. https://www.youtube.com/watch?v=bH_Ws7sA468,0,0,0,0,,,,,,,,,,
8116,7431,"So in the span of one day, Steam sends me an email saying that we didn't make the threshold for minimum payment, and Unity sends me an email that we may be making too much money. Obviously just fuck my shit up fam right?",0,0,0,1,,,,,,,,,,
8117,7431,"So in the span of one day, Steam sends me an email saying that we didn't make the threshold for minimum payment, and Unity sends me an email that we may be making too much money. Obviously just fuck my shit up fam right?",0,0,0,0,,,,,,,,,,
8422,7719,"Russian Conspiracy Theorist Senator & #FraudNewsCNN puppet, Senator Chris Murphy (D-Conn) defaults on $180K mortgage. Irresponsible & Sad.   http://www.deeconmedia.com/russian-conspiracy-theo...",0,0,0,0,,,,,,,,,,
8423,7719,"Russian Conspiracy Theorist Senator & #FraudNewsCNN puppet, Senator Chris Murphy (D-Conn) defaults on $180K mortgage. Irresponsible & Sad.   http://www.deeconmedia.com/russian-conspiracy-theo...",0,0,0,1,,,,,,,,,,
8550,7823,If you skip listening to this conversation between @Ricky_Vaughn99‍ and Vendetta you are a wigger. https://www.youtube.com/watch?v=JtEmMu0eJ3Q,0,0,0,1,,,,,,,,,,
8551,7823,If you skip listening to this conversation between @Ricky_Vaughn99‍ and Vendetta you are a wigger. https://www.youtube.com/watch?v=JtEmMu0eJ3Q,0,0,0,0,,,,,,,,,,
8737,7935,'We're glad we killed jesus' - this guy likes to make 'hands up don't nail' and really seems to enjoy the 'jesus didn't know it was going to be easter' joke. I bet he makes it again this year. what a snake,0,0,0,1,,,,,,,,,,
8739,7935,'We're glad we killed jesus' - this guy likes to make 'hands up don't nail' and really seems to enjoy the 'jesus didn't know it was going to be easter' joke. I bet he makes it again this year. what a snake,0,0,0,0,,,,,,,,,,
8921,8262,For a guy who claims to be a mental health “coach” this guy sure has some fucked up thoughts on property damage.,0,0,0,1,,,,,,,,,,
