,text,class
8350,you white people are so foolish . lady you might not even go to school have a seat .,explicit_hate
12691,spencer  a racist jew : bring public attention to rabbis who suck blood off penises of baby boys  infected thousands w / herpes .,explicit_hate
5008,fuhrer is coming .,explicit_hate
14356,jews push for white genocide - not white women,explicit_hate
20528,"after celebrations are over on 20th jan; pl start bombing #china, all muslims and whosoever talked against you",explicit_hate
20887,That is simply a reason to exterminate all Moslims wherever you find them,explicit_hate
20810,The fact is that these will never stop happening until autistics and mental retards are sterilized and removed from the population and institutionalized. This kid snapped because he lost a game. Only autistics behave this way. http://www.foxnews.com/us/2018/08/26/mass-shooting...,explicit_hate
8482,70 niger churches struggle to rebuild after muslim revenge rampage for muhammad cartoons,explicit_hate
12990," rt #cuckservatives think being  "" racist "" "" is worse than white people being raped  assaulted and exterminated """,explicit_hate
12332,filthy muslims don't kill people  filthy cars kill people ?,explicit_hate
20395,"if you can't stop the trannies, you aren't gonna stop muhammad, m8.",explicit_hate
20718,"how many terrorists would you be okay 100,10, 0? a sure vetting system would be to ban muslims for a time",explicit_hate
16769,admit jews aren't white and they're the ones behind white genocide,explicit_hate
1551,not just the left also cuckservatives rinos jewish neo conservatives,explicit_hate
19637,animal savages will behave like savage animals!,explicit_hate
10044,this tranny doesn't even look white !,explicit_hate
17474,yes it's simple protect the jew and kill everyone else .,explicit_hate
17912,i hate black and muslim race . i belong to aryan race  how may i help your movement ? please give me tasks,explicit_hate
7916,italians must be ashamed to have such politicians  white race is finished unless fuhrer intervenes .,explicit_hate
15728," jews are only  "" white "" "" when theyre shilling for something . """,explicit_hate
16064,hey   the folks at #ows are your worst nightmares : multiculturalist  secular  far-left  gender-queer  egalitarian .,explicit_hate
3795," rt -  "" i hate you all "" "" - racist note from the black boy who raped his white teacher & slit her throat """,explicit_hate
18900,roosh isn't even white enough to be in a white power movement and anglin is a mongrel .,explicit_hate
4496,they need to die . it's time for the purge,explicit_hate
7599,: shocking : south african negroes livin ' large  eating sushi off white models via yho ! !,explicit_hate
20767,"attack back, but with heavy weapons!",explicit_hate
8340,you guys are gay and ugly,explicit_hate
10065,u can smack my mom kid shes black,explicit_hate
15725," i support slavery so much i think it should be brought back .  "" people "" "" worked and were well behaved back then . """,explicit_hate
717,sure there is . i'm finnish and german . i'm white . what are you ? a half breed ?,explicit_hate
9776,liberalism only sees individuals . it doesn't see ethnic networks like jews in the media or pakis and indians dominating gas stations,explicit_hate
20858,Who wants to kill little blasphemous sand babies 👶🏽?https://www.youtube.com/watch?v=EDAY56MdPEI,explicit_hate
7236,that's right i forgot  jews infest every white nation and cause trouble .,explicit_hate
15165,hi man heil hitler  dont you think is worse that inyour country now even the rrpublicans are jews,explicit_hate
18344,what's your favorite vintage of cuck tears ?,explicit_hate
19979,i want to join the anp im sick of all the fucking niggers and jews and mongs icant turn on the tv without a fucking nigger being onit,explicit_hate
13177,blacks murder and rape whites around the clock  & hold whites as a whole accountable for slavery . but all blacks are innocent . ok,explicit_hate
20848,"Bring the pain down upon her mom. #Trump #MAGA #KAG2020 #2A #USA #Mueller #AntiFa Address: 1315 Peach Orchard RdSalisbury, North Carolina 28146 tel (704) 630-4700Websitehttp://dillards.com https://bigleaguepolitics.com/meet-the-charlotte-a...",explicit_hate
12510,look at all them stupid white people i guess they think there black,explicit_hate
8818,islam is only racist against jews . all others it conquers and subjugates .,explicit_hate
13766,when blacks finally realize that the enemy is mexican instead of white .. america will win the border war .,explicit_hate
3764," ' holocaust ' debate / comments / news yet another fake  "" antisemitic ' effort by a racist supremacist jew : here ... """,explicit_hate
3739,you should be scared  you racist sob . all white supremacists should be terrified .,explicit_hate
10271," rt how exactly are most jews  "" good people "" "" ? almost all jews are anti-white and are not honest about jewish supremacy in america """,explicit_hate
4675," #cuckservatives : trump will change america with  "" trickle-down racism "" "" = = = > via """,explicit_hate
216,2 hollywood jews want us to feel bad for not importing jihadists whose doctrine has more jew hate than mein kampf,explicit_hate
16482,we must stop #planetisrael . the nonwhite hordes helping the #jew do not know they are to die as well only #jews will allowed on earth,explicit_hate
20852,"Aw, ya had ta mention it...#HangTheBitches",explicit_hate
11245,1 more whitey down #killwhitey #whitegenocide #nigganetwork #notyourshield,explicit_hate
19302,true. it's the rare white person who can be as clever as i am.,explicit_hate
18551,: muslims are into genital mutilation so why not castrate muslims who sexually abuse and rape .,explicit_hate
11581,if you hire illegals you support slavery  cheap labor needs to go  along with you  cheap bastards !,explicit_hate
4815,: mandela's rainbow nation : white woman raped then stoned by racist blacks in south africa ( video ),explicit_hate
8908,muslims want to kill us all . you first please .,explicit_hate
10546,he should have blocked immigration by iq . would cut off majority of the undesirables,explicit_hate
7893,islam must cease to exist and that must be your goal  else they will gobble up white race,explicit_hate
19557,"good ! hopefully if america makes them feel unsafe , the dirty filthy muslims can go back to their sand lands !",explicit_hate
18273,this has started already.on news gang of ni88ers attack 1 white . cops investigate the white man .,explicit_hate
12496,kill these people,explicit_hate
8008,no more sand-niggers ! they hate america . look at detroit . scary . these are pure filth these sand-niggers .,explicit_hate
9710,idiotic masked #antifa cowards want communism in america . look how moronic these #libtard #fascists are .,explicit_hate
19235,niggers are wats wrong with the world keep them out of earth they are alien,explicit_hate
21457,Today we celebrate a Jewish funded black communist who frequented gay orgies and read speeches written by his Jewish handlers  This is the equivalent of people 50 years from now getting the day off to celebrate deray who is another Jewish funded black faggot,explicit_hate
14181,faggots,explicit_hate
19786,"until u knock t shit out of t moslems and let them know u are most willing fight 4 urselves, u lose!",explicit_hate
13025," you got your words mixed up  there : jews & white trash [ <---  "" trash "" "" goes here ] . """,explicit_hate
19604,"just watched stop genocide on youtube. fucking savages, animals. they didn't even have the wheel before we got there. they w",explicit_hate
15636,why  because a supremacist jew told you so ?,explicit_hate
73,the biggest racist in uk politics - diane i hate whites abbott !,explicit_hate
8585,awww  poor lil fat white thugslol,explicit_hate
16628," da bears : white hero mike ditka attacks nfl negroids  calls out  "" oppression "" "" hoax via """,explicit_hate
18532,7 things miriam adelson does besides back gop candidates #withjewswelose,explicit_hate
17716,and that's why white brainless idiots like you support trump :),explicit_hate
19060,white trash = white person procreating with a non-white,explicit_hate
19387,democrats want to keep these 3rd world losers in hopes of them voting democrat and bringing in millions more via chain migration.,explicit_hate
15915,as in you are leaving ? you're too white looking to be native . bye ugly and your fatty ! #smallhands,explicit_hate
10528,go back to mexico don't like it leave democraps suck queers,explicit_hate
17476,yet black people continue to fail at every level of the education system . no solution for low iq !,explicit_hate
3066,ban that pos plague called islam ! ! ! they are illegal here ! ! !,explicit_hate
10682,keepin ' it white : how the jews won the west ( 4-15- 15 ) - renegade broadcasting #withjewsyoulose,explicit_hate
16544,white whores and black pimps isn't news .,explicit_hate
12128,#kukluxklan forever !,explicit_hate
4360,racist are idiots thats why they racist to have other idiots to hang with,explicit_hate
9275,"  "" : uk muslim texted  "" "" i'm going to go jew bashing  "" "" then beat up a jew "" "" #isis #muslims """,explicit_hate
1296,don't care for the white people because nigger's and other people get everything when they come to are county :-),explicit_hate
9989,the black idea of harmony is committing 100 % of homicide in atlanta . #black undertow,explicit_hate
18750,if you're not white you're wrong,explicit_hate
8259,what race are muslims these days ? most of you don't even deserve to b classed as human race you mug,explicit_hate
12372,hmmmm immediately after islamic prayers she went to kill .. jew hatred it's in the quran ...,explicit_hate
11937,white genocide is going to work great in us .,explicit_hate
19903,"lol,,, welcome to world, this is what she lobbies for, and this is how it begins good job! good job ann you f'n tranny",explicit_hate
10321,- the entire non-white part of the earth hates us . even non-white christians  the ones that you praise ...,explicit_hate
9090,there you go snowflake  play the race card . securing the borders is not racist,explicit_hate
10037,they're not white supremacists you illegal immigrant parasite .,explicit_hate
17503,you think you're smart you filthy jew ? only the evolved developed ones became white blacks = inferior,explicit_hate
8081,shhh ! you'll trigger him to hate white people and coon's !,explicit_hate
9093,these cucks will continue to cuck in a fit of rage . like the sodomites they are  to punish all who dare not to conform to their degeneracy,explicit_hate
20667,hang him too,explicit_hate
9," rt estonian pm :  "" i don't want blacks in estonia ; this is a white country "" "" via < well said . """,explicit_hate
11212,#ferguson people must be destroy to they make a fun by the murder ! ! ! #freedomtoblakcs #wearenotaslave,explicit_hate
11394,come to my neighborhood muslim faggots ..,explicit_hate
13353,i'm concerned about white cops being targeted by racist black thugs not with what color annie is or if a black man can play james bond !,explicit_hate
20503,gotta get rid of the niggers,explicit_hate
13096,: via : boko haram leader : kill  kill  kill  kill  kill christians ! #tcot,explicit_hate
7705,christianity and the west in general is cucked by islam  it's pathetic .,explicit_hate
9703,i'm trying to kill the refugees,explicit_hate
12897,with over 60 % of the white vote going to moore id say the racist homophobic redneck hillbilly demogr,explicit_hate
644,only phil bryant stood strong  while foreigners like nimrata haley and cucks like robert bentley bowed to the left,explicit_hate
17319,the truth is that blacks are a criminal plague from detroit to atlanta to chicago to london to toronto,explicit_hate
4782,. speaking of racist democrats .,explicit_hate
20904,Tell him to bring his goat and camel fucking faggot ass to America and burn a flag in front of me ... I will beat him into a trauma center bare handed that faggot pussy bitch don’t have the balls to come here and do it,explicit_hate
3913,a key clue to the cred of any rightist group is whether they go after cucks like ryan  mccain  graham . if not  a total waste .,explicit_hate
11788,stupid white liberals at a demonstration  apologising for slavery of blacks ... words fail me ...,explicit_hate
12594,oh  precious . milo was just the first to fall under the weight of his own stupidity.you ' re next  ricky . #cuck,explicit_hate
3988,block white hating crack monkey  i did .,explicit_hate
18593,and bring the white hoods and rope !,explicit_hate
2027,2/2 for those who want an all-white  no-fag  no-jew  no-mudshark movement with an achievable objective  check out,explicit_hate
17101,look at this cuck far right watch you can watch as we step on you cuck antifa commie faggots .,explicit_hate
11861,those larping faggots are the worst with their civic nationalism and muh constitution . i just cannot stand them .,explicit_hate
17099,lololol heather heyer looks like total white trash !,explicit_hate
18438,"  "" white live metter "" "" how about learn how to spell and propper grammar .. trailer trash ... """,explicit_hate
17606,#bansharialaw #banthequran #wakeup #banislam #bancair #enoughisenough #muslimsaretheproblem #islamistheproblem,explicit_hate
5384,the heighth of ironybro activism is drinking milk in public while your massive man-tits jiggle for the,explicit_hate
755,the origins of jewish neoconservatism #withjewswelose,explicit_hate
18218,the honesty and dignity of lindsey graham #cuckservative,explicit_hate
14467,parents  siblings & anchors ... strain on education  welfare  citizens ! we demand illegals deported & end of anchor baby program ! #nodreamact,explicit_hate
1620,retweeted elder lansing ( ): demokkkrats stop your racist deceit ! obama sat underneath a racist ...,explicit_hate
1881,you should call yourself jewish media pundit and american traitor propagandist . block us we need something new,explicit_hate
18729,i mean yeah  white people are the worst .,explicit_hate
363,cuck : a white church no more,explicit_hate
9588,elin krantz : just another dead white liberal female raped to death by non-white invader #swrm via,explicit_hate
298,any white guy not into identity politics is a fagg 0t,explicit_hate
16151,isn't it amazing for 8 years under a racist black potus & 2 racist black ag's no problem with white gro,explicit_hate
16170,jesus was a jew  you fucktards ! you're going to endure the great white throne judgment and not stand condemned  you whoremongers ?,explicit_hate
6171,muhammad was false prophet.should jews kill because christians believe in messiah.christians kill cause some won't ?,explicit_hate
5258,of course a jihadist is a muslim u idiot,explicit_hate
19675,im black and all white people have inferior everything to me,explicit_hate
2409,let's hope this ( ( ( writer ) ) ) is correct ! jews should probably start packing up and heading for israel .,explicit_hate
19231,how can i report you for being a reject inbred piece of shit?,explicit_hate
13414,jewish supremacists demand more cash for racist ' israel ' . : well  this is not exactly related to our topic here ...,explicit_hate
4050,except all the jews who are white . that is how stupid ypu are . trump is jewish . duh ..,explicit_hate
19776,why can't we just shoot mexicans at the border already,explicit_hate
6533,"  "" white lives matter "" "" sounds gay af """,explicit_hate
1613,race mixing kills ! #miscegenation #whitegenocide #trumprussia,explicit_hate
3725,you don't care about slavery . you just hate white people,explicit_hate
3573,they are happy to accept what they can without question i thk . the jews are using them to destroy the white,explicit_hate
19216,"in pakistan they eat donkey meat also, totally barbaric and medieval sons of kjilji homo",explicit_hate
10821,roy moore rapes kids,explicit_hate
20090,they're computer geeks who couldn't get white girlfriends in college so they're nigger lovers now .,explicit_hate
13983,. hates white people .,explicit_hate
5960,funny cause he went peak cuck for israel & likely hasn't changed,explicit_hate
13803,white terrorists,explicit_hate
15299,maybe we should do an anti anonymous march on #nov5th along side those faggots . #opkkk,explicit_hate
6734,all the jews must die in order for the white race to survive !,explicit_hate
9605,fliers posted at uc santa barbara blame jews for 9/11 : #israel did 9/11,explicit_hate
15128,filthy jews are not white . and jews don't fight they get others too . you'll find yourself in holocaust mark 2,explicit_hate
7509," the islamic doctrine of kafir hate .  "" allah  kill the despicable christians "" "" """,explicit_hate
10146,white slurpin . afraid of slurpin a longer  colored one,explicit_hate
9823,nick searcy is not a man . he is a cuck raising some black man's spawn .,explicit_hate
2523,refugees need to be sent back they are on a mission to kill us all,explicit_hate
531,it is driven by jews  carried out by somalis and arabs . the issue is keeping europe white .,explicit_hate
7382,white power ! ! !,explicit_hate
8644,cucks  mormons ( glenn beck and romney )  carson dropping out  rubio tanking are why i think idaho goes for cruz,explicit_hate
7892,islam is hate . moslims kill each other . go forward and kill more moslim by moslim .,explicit_hate
9211,white racist arseholes,explicit_hate
17082,kill youself racist faggots,explicit_hate
20919,"Find the guilty bastards, hang them from their balls and spin them!!!",explicit_hate
5526,white people ate criminals . brown people are islamic terrorists,explicit_hate
2401,koran licking retards !,explicit_hate
5327,says the racist white privileged . stop  only making yourself look stupid af,explicit_hate
15653,wow  no wonder you write for that anti-white commie jew-loving outlet  huffpost ... you're absolutely despicable .,explicit_hate
21450,Internment Camps are a good start for all illegals and muslims.....Round Ups immediately,explicit_hate
4412,super cuck telling white people they're intimating .,explicit_hate
12960," because they know retards will hear  "" islam "" "" & will want to kill all muslims . duh ! """,explicit_hate
9380,#fearthewalkingdead caption : look at all the black people die !,explicit_hate
19223,you were absolutely sick and disgusting black man,explicit_hate
407,great video  please share . #jews are indeed guilty of white #genocide #zionism #zog #whitepride,explicit_hate
4640,you are a racist terrorist organization .,explicit_hate
20897,"What's to analyze? Invasion coming, put troops on border, shoot those stupid enough to cross. Tell Mexico to shove it up their ass.",explicit_hate
8825,it means white demons .,explicit_hate
3349,keep telling yourself that  cuck,explicit_hate
848,when are we as americans going to show these allah faggots what pain and death look like .,explicit_hate
15471,that's vile hate speech and then people are surprised when muslim men rape white girls  abuse and prostitute them . islam is a cult of evil .,explicit_hate
3578,they're worse-useful idiot twits-fools that caused a massive flow of islam refug into eur th,explicit_hate
9486,another filthy jew uniting with muslims against us .,explicit_hate
15183,i believe the ideals of white civilization and collective white culture is absolutely superior . we need not apologize,explicit_hate
10332,... more human misery in the name of islam - laughably called the religion of peace by the simple clueless !,explicit_hate
14677,we n3ed to get black out of barnet,explicit_hate
19460,its not they just don't want whites coming together as one.bc their scared n knw we are the master race,explicit_hate
11468,filthy white trash is all you are . filled with the devil's hate,explicit_hate
20853,Irl I would smack the shit out of your skank face and you would beg for forgiveness,explicit_hate
4594,white people helped half white obama win twice and i bet you weren't complaining then hypocrite !,explicit_hate
13584,russian antifa is the biggest pile of faggots in a whole world . sad !,explicit_hate
19077,women and jews did this . the white nations need white sharia and ns today  tomorrow may be too late .,explicit_hate
15013,at long last ! finally  we can start openly talking about the lying  subversive  scheming jews destroying america ! #maga,explicit_hate
10586,i learned all i needed to on 9/11 / 2001 . islam wants to rule the world .,explicit_hate
9566,cuckservative faggots think that trump wants a police state . we already have a police state  and it was built by liberals and cuckservatives,explicit_hate
4633,yes and latin america is white class civilizing brown savages,explicit_hate
10763,only white people pollute . brown people enrich  goy !,explicit_hate
13818,why not ? #islamistheproblem #bansharia #banthehijab .. actually we don't care what cair thinks,explicit_hate
718,sure you dont . the majority of the white race wishes you all were dead . and you,explicit_hate
8822,it is time for the white people to take america back ! we must stop all the black protests immediately !,explicit_hate
14474,please subscribe and view my jew lies white genocide playlist non profit,explicit_hate
12482,jews  communists and genocidal hate in whiteness studies #withjewswelose #hitlerwasright,explicit_hate
17307,the next thing you'll do is claim i am racist because the mexican race is so despicable .,explicit_hate
7470," cause the lefty  "" men "" "" are d'k-sucking effete cucks . """,explicit_hate
19672,who cares if hes illegal. these people are savages. its no wonder mexico is a shithole country,explicit_hate
13607,so you support gooks infiltrating and polluting the white gene pool ?,explicit_hate
18194,tactical triggering : white genocide  jewmerica  and trumps retweet via,explicit_hate
1336,go back to mexico racist !,explicit_hate
15815,100 % white 100 % racist 100 % national socialist #napow #nationalsocialismnow #lovens #wp,explicit_hate
6858,don't be stupid ! ! american classic idiot ! ! !,explicit_hate
2981,: new black panther negroes have started mobilization to burn white communities,explicit_hate
4474,their is no jewish conspiracy their is only white apathy and cowardice .,explicit_hate
1028," rt jews are shape-shifters they can  "" appear "" "" white black asian christian buddhist muslim etc """,explicit_hate
7177,religious liberty for christians in our christian countryno liberties for muslims  nor satanic atheists . church of,explicit_hate
19201,"they are murderers, thieves and rapists. there is nothing devout or pure about them. they are degenerate satanists.",explicit_hate
1804,what would you call a she wigger ? a whoe ? twick ? oh i remember a stupid white bich !,explicit_hate
7282,they are out smarting u . anither proof had the whites not raped the world they wud have been puny little bugs !,explicit_hate
17616,#whitepower #hangniggers #niggers #porchmonkeys #antiquefarmequipment #fuckniggers,explicit_hate
15935,black students at harvard openly calls for extermination of the white race ( video ) | read more : via,explicit_hate
3548,the people at the charlottesville rally do not call themselves nazis . many antifa do call th,explicit_hate
9134,trump is white trash,explicit_hate
12306,department of justice and president cuck opening up civil rights investigation into charlottesville via,explicit_hate
5302,racist and rapist,explicit_hate
3071,being racist agsinst whites isnt racist,explicit_hate
98,"  "" by the quran  we will kill you all  you faggots ! "" "" : muslims attack gay club in paris  beating patrons and sprayi ... """,explicit_hate
20930,"Every now and then, as sure as clockwork, a miserable little Internet #TROLL (such as you) comes along in order to upset the apple cart to the consternation of all #DECENT* people here online!!!!!!!! GO AWAY!!!!!!!!!!!!!!!! And get FUCKED by a horse's cock if *that* is your ultimate desire!!!!!!!!!!!!!",explicit_hate
908,wow ! i wish you would go on and say that . #banallmuslims but the west is too stupid and can't believe islam is #islamonazism,explicit_hate
12662,send all the #blackliesmatter activists to liberia .,explicit_hate
4512,throw political correctness outthe window.if your a illegal alien  black punk  white trash  orradical that's you !,explicit_hate
19556,what kind of queer is named kit?,explicit_hate
9716,im confused . mr . jewberg sent a notice to white people saying i should be ashamed to be white . who do i trust ?,explicit_hate
3777," is a communist jew-hater who supports the  "" palestinian "" "" jihad  & you demonize us . bravo ! """,explicit_hate
20912,I would think your Sweden cops should be able to use their snipers and shoot those with flaming bombs in their hands. Till you crush the muslims they will never stop. muslims only understand force.,explicit_hate
20879,Nice false equivalency you cretinous niggerstain.,explicit_hate
13312,how i hate the cucks !,explicit_hate
10450,black man ( who hates all white people ) murders white man for getting in his way on sidewalk .,explicit_hate
17249,somalians are terrifying ... i've travelled alot of places  met alot of people  and all somalians are violent and quite frankly insane .,explicit_hate
8477,3 . i can see that time and time again whites have innovated  invented and brought real progress  blacks have not . do you deny this ?,explicit_hate
4203,is right . i went 2ur website . u all sound like a bunch of #ignorant  #xenophobic  #racist #rednecks . #immigrantsmakeamericagreat,explicit_hate
7923,jeeeewwww aree not of european desent there non white,explicit_hate
2219,even the women are evil,explicit_hate
19470,"if race was real (which its not), id rather have ur kinda stupid genes eliminated from our gene pool!",explicit_hate
12440,illegals are succubus and leaches . parasites,explicit_hate
14468,people create their own poverty . end of story . #tcot #blackinamerica #lowblackiq,explicit_hate
20890,David Hogg needs his ass kicked.....right after his parents get theirs kicked for raising such a wretched human being.,explicit_hate
12671,shut up . you're a degenerate  lying anti-white racist . the video is available for everyone,explicit_hate
4138,i hate black people  if it's not white it's not right #kkk #whitepower,explicit_hate
10129,white lives don't matter . diversity means chasing down the last white person .,explicit_hate
2382,jewish cuckservatives  you mean .,explicit_hate
20844,#SellOutSessions #JusticeDenied #Trump Let's get colonial on these traitors... give them due process and hang them. http://madworldnews.com/jeff-sessions-owe-fbi-agen...,explicit_hate
8691,finns protest against increasing number of non-white invaders #auspol via,explicit_hate
6794,black man openly fantasizes about slaughtering white girls during race war ( video ) via,explicit_hate
19368,zimmerman is brown eyed. like you. ( ) a race of blue-eyed devils we live amongst. vermin of the planet,explicit_hate
10186,you have make america mexico again on your bio ... you lost the war  you want aztlan ... we have laws against you  go home pendenja .,explicit_hate
19192,yeah..and sand niggers infesting western europe to the point of ruin!,explicit_hate
7560,10 % of norwegian women have been raped by muslim invaders  half before they were 18 | more :,explicit_hate
13094,: robert spencer made muslims kill jews . amazing .,explicit_hate
8883,looking forward ~ you will see jew-controlled splc & aclu in many coordinate-efforts to combat anti-semitism & white nationalism,explicit_hate
6173,muslim who murdered jewish girlfriend says im going to kill every jew . one isnt enough for me .,explicit_hate
18413,you lowlife white trash mofos attack the black church because you know they're docile . can't drag y'all near a black muslim mosque !,explicit_hate
3528,the biggest hoax out there tho is the one of the white race existing and accomplishing all these things you neanderthals stole from blacks,explicit_hate
16990,hurrrr hurrrrr white trash power .,explicit_hate
20512,"but, but.what do you think their motive was? shoot. them. dead. in. the. street.",explicit_hate
12215,aka the jewish pedophile ring .,explicit_hate
3131,dear #germans  vote for to save fatherland from barbarians and british occupation . swear in the name of fuhrer,explicit_hate
7832,i hope that #trump picks a harmless white man from the south like sessions as his vp---no women  no coons of any stripe .,explicit_hate
9314," lol literally first exhibit i encounter at us holohoax museum - a  "" survivor "" "" begging for shekels ! #withjewswelose """,explicit_hate
4480,there is no hate like islamic hate .,explicit_hate
5704," they gotta go . not about  "" hate "" "" - just recognizing them as hostile alien enemies of white race """,explicit_hate
16649," no one in america thought irish were white when they came here on the coattails of the jews and dagos ; def nt  "" aryan "" "" """,explicit_hate
2141,better be ready to ban islam #demexit #dnc loves sharia law oppression of women killing women,explicit_hate
20812,"It's time to purge the entire landmass of the United States of the plague that is the Jewish pedophile population https://twitter.com/michaelianblack/status/1020869... They hate our right to bear arms more than SEX WITH CHILDREN I wouldn't mind seeing these vermin Hunger Gamed. Put them in a pit, tell them to hunt each other down",explicit_hate
11576,idk what troll is but i sent them incest faggots a mention,explicit_hate
19763,i hate niggers and faggots!!!,explicit_hate
14880," you know for having a  "" high iq "" "" you sure aint very smart and lack logic and reading comprehension . white people dont exist because people are humans and white "" "" people "" "" aint human . you are neanderthal rhesus monkey hybrids """,explicit_hate
10994,we must keep the white race  i am ashamed to be british  i find asians disgusting & repulsive & blackie's  they are a disease !,explicit_hate
19363,"bovine fecal matter, daca are illegal leeches upon american. they need to be deported and sent back to their country to make it a great place again. that's what well educated and upstanding young people should do, unless they are leeching welfare demanding scum",explicit_hate
20907,Nuke 'em 'till they glow and use them for runway lights.,explicit_hate
4867,and the ultimate cuck of the year goes to my good buddy justin trudeau amazing !,explicit_hate
1484,kill isis,explicit_hate
15563,via : jordanian mp : i hate the jews . i hate the jews . i hate the jews . #tcot,explicit_hate
962,"  "" white flight . "" "" nice jew euphemism for us fleeing their invading hordes of non white pets . """,explicit_hate
1883,you tryna sound formal but we all know your just some racist school shooting teenager with daddy issues who wanks to hitler photos .,explicit_hate
3124,cuckservatives : kevin williamson on trump  sanders  and national socialism via,explicit_hate
3751,"  "" : obert pencer is a racist "" "" islam is not a "" "" race "" "" it's a sick deviant twisted mind boggling theology by satan """,explicit_hate
3720,you can see jew-hate more easily by reading your tweets .,explicit_hate
19334,warning unprecedented wave of 3rd world illegals inboundtake action w/ #alipac #tcot #pjnet,explicit_hate
16270,one jew is too many #withjewswelose,explicit_hate
5756,1.6 billion peaceful muslims - th 1s that hate n kill each other + th 1s that chant hate infidel,explicit_hate
7730,does your pedantry argue that negroes are more or less intelligent ?,explicit_hate
20916,Another shit talking Nigger that needs a bullet in his head. 😠😠😠😠,explicit_hate
18229,the northwest front : the no-queers  no-jews  no-mudsharks alternative .,explicit_hate
18967,the truth is is that white european men and women built america . not unwanted  unwelcome mexicans or smelly  greasy muslims .,explicit_hate
8294,white people need to start killing the enemy,explicit_hate
7818,i believe that white people are the best people  we yellow and black people can only become white slaves,explicit_hate
7869,illegals suck jobs from every level of us work force . flood lowest jobs & cherry pick the best ones . vermin . need orkin !,explicit_hate
18742,i'm sure the boychick antifa faggots aren't afraid tho,explicit_hate
6627," wow  what a huge turnout . could find anymore whitebread that lives on mommy's couch ? enjoy jail  retards ! ! ! counterexample to  "" white pride "" "" """,explicit_hate
16069,hippos : keeping gas stations nigger-free since 1921 | more : via,explicit_hate
12929,you lying pos racist / / /,explicit_hate
15380,problems at state dept .. ' muslims want to kill u but let's celebrate their cult .. and don't apply if you're white ' #dc,explicit_hate
10064,u bitkh azz hunkkky,explicit_hate
16333,squaaaaaaaaad : kkk alive and well white brother hood unite ku klux klan,explicit_hate
