text,class
" we  "" whites "" "" have been out numbered 100 to 1 by sh * tskins before and came out on top in the end . i think we've got this buddy """,explicit_hate
"  "" nice whites "" "" get a kick in the face again . """,explicit_hate
I love fuckin wit people. I be givin greedy ass nigas old as crackers wit expired cheese dey be callin me like&#8221; nigga im shittin likea goose,explicit_hate
@AnimeKing420 fight me 1 on 1 ur choice of game faggot see what happens,explicit_hate
1 more whitey down #killwhitey #whitegenocide #nigganetwork #notyourshield,explicit_hate
A nicca say he ballin ask em where his title n his deeds at not wher his clothes n his keys at,explicit_hate
"RT @twerkn4boba: "" fuck you say bitch? I will kill you "" http://t.co/3EiGzh6Q13",explicit_hate
no it makes you white wash uncle tom,explicit_hate
holohoax from jew york ( 1943 ): nazis kill jews with homicidal gas cameras ! | read more :,explicit_hate
@Buckm00se @letsargueboxing sand nigger ran over some Kidd,explicit_hate
if three psycho moozlims can cause a bloodbath like this  what will happen if they launch another attack on america ? god protect the usa !,explicit_hate
@McwilliamsBrett shut your legs hoe,explicit_hate
RT @CHlLDHOODRUINER: who else hated this bitch nigga ?? http://t.co/8jwGmV4Yet,explicit_hate
RT @FAAMMoverALL: This nigguh Chris Paul,explicit_hate
that's a anti white agenda perpetrated by the jews,explicit_hate
@DavetheBrave1 that hoe on some other shit bro rt and 100x better rn that a nigga high,explicit_hate
"' If this ugly ass niggah can be with her , I can too . Tf she with Chuu Baka for anyways this niggah look like a... http://t.co/lVNDRDPpQT",explicit_hate
Who takes mid from the best midlaner NA??? Fuckin solo Q fags.,explicit_hate
"RT @Bidenshairplugs: Anybody who trashes their own neighborhood after a perceived injustice is a fucking moron. 

#Ferguson",explicit_hate
"RT @DefendWallSt: ...wow? RT @1SleepingGiant: Whatever! Fuck all those assholes. They're niggers, they all look alike to me.",explicit_hate
"@kmdk83 @BeautifulMined
I hopes dis ain't cause he colored cause I knows he be actin all nigga like",explicit_hate
Wish I coulda said more to @EmmaleeeParkerr tonight. Good seeing you fag. &#128540;,explicit_hate
i'm concerned about white cops being targeted by racist black thugs not with what color annie is or if a black man can play james bond !,explicit_hate
Most niccas broke but always n the limelight,explicit_hate
not a fan  but agree with you on the 20 and 30 something #cuckservatives . their columns are #yuge ammunition for trump,explicit_hate
@prettygrl_rocky ugly dyke,explicit_hate
@wutkarina Alright fag,explicit_hate
" rt there are very few  "" white supremacists "" "" in charleston . there are more blm racist activists than any other extremist group . """,explicit_hate
@aasthaxoxo oh shut your mouth i was talkin about the morning you fag,explicit_hate
"RT @kcarmouche: How you real, don't put NO money on you nigga books? But chu buy a bitch Chanel just to hit the Puss!",explicit_hate
"@coughlan616 Youre racist against white people whigger. Anti-Racist is a codeword for anti-white.
Anti-zionist is a codeword for antisemite.",explicit_hate
" got to side with roosh on  "" promotion of masculinity "" "" which is anathema to preening  effeminate cuckservatives """,explicit_hate
For all we know this nigga a rapist. Y'all hoes dumb &#8220;@daniellathepimp: *melts* http://t.co/RRROzn5bdy&#8221;,explicit_hate
RT @FemsHaveBallz: You can no longer run a business n America unless it's deemed acceptable by 1 political group of retards known as democr&#8230;,explicit_hate
#hindurise will we wait till #diwali is banned & #navratri cancelled ? ? stupid hindus wake up before it is too late,explicit_hate
good blm is a racist hate group and should not be getting any press . let them die in the media,explicit_hate
RT @Meet_Nallah: &#8220;@mckenxcassie: Some of y'all hoes so worried about y'all eyebrows y'all forgot y'all had a mustache &#128514;&#128557;&#128557;&#8221; LMAO,explicit_hate
@klejdys He may be 'hustlin' but he studied Critical (Race) Theory and 'my people' Holder is getting his 'revenge.' They hate whitey.,explicit_hate
"@bad_boy_six @ksteven37 
Here ya go wetback, eat this.. http://t.co/kf6PgZvH5G",explicit_hate
Only retards retweet fuckry,explicit_hate
#kukluxklan forever !,explicit_hate
It's a lot of Uncle Tom ass niggas out here.,explicit_hate
how can i report you for being a reject inbred piece of shit?,explicit_hate
@Flow935 jus wanted to let y&#225;ll know hope the hurricane kills your soca sunday trash #LORDWILLIN,explicit_hate
You have my word we will RT @JRwrz: @Thotcho beat those fucking faggots pls,explicit_hate
This nigglet &#10084;&#65039;,explicit_hate
@krispy717 @grizzboadams fucking gay faggot look at that gay ass pink shirt haha,explicit_hate
where white supremacist trash goes for its shotgun weddings .,explicit_hate
#marchagainstsharia interfaith is a lietaqiya is islamic lie to the infidel then muslims will kill america,explicit_hate
"RT @ChingonAbe: &#8220;@staycoolwheels: @mjs79 well he is at Genos. So he is the ultimate faggot&#8221;
@elmaestro1 got to show this queer how to eat &#8230;",explicit_hate
for that  cucks have been well trained for decades by ( ( ( conservatives ) ) ) . america deracinated .,explicit_hate
"if you can't stop the trannies, you aren't gonna stop muhammad, m8.",explicit_hate
raping beautiful white women because their women are vile and ugly .,explicit_hate
RT @__J_R: Smh nigga is mildly retarded RT @Thotcho: LMFAO RT @JustDoJ: If Griff wasn&#8217;t injuries we&#8217;d legit be 6-1,explicit_hate
RT @jjauthor: US ghettos-driven by liberal ideology; forged by unions &amp; bankrupted by self-serving Dems catering to parasites!#tcot http://&#8230;,explicit_hate
its not islamophobia when they really are trying to kill you,explicit_hate
@real5Hfacts stfu u ugly dyke,explicit_hate
"RT @ItsSonGoku: When niggas ask me ""Where the hoes at?"" http://t.co/eg6gxgGzFC",explicit_hate
@RepulsiveTool And the only band that sucked worse live is those fags Guns &amp; Poses.,explicit_hate
This nigga over here telling me he dont fuck with this bitch . When he do &#128553;&#128514;&#128514;. Or maybe she lying lol,explicit_hate
@Stonisnipezz this is a joke right? You're on here like ugh I wish I was a jap and tweeting in gook and shit and jerkin to hentai.,explicit_hate
I like taking niggas hoes but I stop doing that &#9995;,explicit_hate
#DTLA is trash because of non-Europeans are allowed to live there.,explicit_hate
RT @jezzzz_: &#8220;@Ginga_Snaps13: @jezzzz_ @ShitPussiesSay Jessica I'm not afraid to slit your throat tomorrow&#8221; @RitenourSchools @BarackObama @&#8230;,explicit_hate
they're working on a bill to prevent retards from voting. who knew retards COULD vote? things are starting to make sense now.,explicit_hate
cuckservatives : ben sasse calls out jeff flake,explicit_hate
@heyyayled do i have to repeat myself u white trash,explicit_hate
RT @InfidelAlie: Yay for America &amp; Israel... we put in more Jew Hating muslim trash into our government! pathetic &amp; sickening,explicit_hate
human being is a white termanimals ... are what is left when whites close their lips,explicit_hate
RT @Leslieeeixta: Bdubs is packed with beaners &#128557;&#128514;,explicit_hate
See&gt; Its a FINE LINE&gt; Killing #faggots doesn't change the source of their creation. Which is #Stupid PEOPLE #overbreeding&gt; #PERIOD&gt;,explicit_hate
breaking : 17 black thugs arrested for burning white girl alive ... the msm is silent via,explicit_hate
"Can&#8217;t wait to humble these niggas in the playoffs again. Until then, good job hoes",explicit_hate
filthy white trash is all you are . filled with the devil's hate,explicit_hate
My best friend loves Justin beiber what a fag &#128557;&#128514;&#128557; @Cryystalina,explicit_hate
@__Black_Jesus yea I forgot I was talkin to a degenerate faggot,explicit_hate
Stupid teabagger restaurant making customers pay 'Minimum Wage Fee' http://t.co/gJKXmzIIzS,explicit_hate
RT @salomanizor: Too many faggots on here that think they can address me by my first name,explicit_hate
because it offends leftist shitlib sensibilities  white people,explicit_hate
RT @DRNRDX: @BrandonFxrd you're not safe pussy boy looooool http://t.co/TocJ1WxRYK,explicit_hate
@white_thunduh my bitch dont want your ugly ass gtfo ol peyton manning lookin ass,explicit_hate
Niggas wear wigs more than bitches these days.,explicit_hate
@TreTyler_108 That's actually non-English. Because #okiecops are filthy white trash who are all criminals.,explicit_hate
@SAMMI_boyden bruh we can finally roll like rednecks (': ((drug dealers)),explicit_hate
"saudi arabia is a disgusting, inhuman regime. truly evil. lower than vermin. still, business is business. kerching!",explicit_hate
RT @_2kkz: This faggit bitch tried to say she hoe'd for hd bearfaced bitch yusa fag,explicit_hate
RT @_asslxrd_: my inner nigger is coming out,explicit_hate
@MakeAnothaHov T.o. was a faggot crybaby,explicit_hate
I know righttt RT @dta_87: I hate fat loud bitches,explicit_hate
fat bitches fat bitches heeeey,explicit_hate
democrats want to keep these 3rd world losers in hopes of them voting democrat and bringing in millions more via chain migration.,explicit_hate
if people trace the history the jews are behind white genocide it's the same fight hitler had & he sho,explicit_hate
yes kill all christians,explicit_hate
RT @lmfaohilarious: Never go full retard http://t.co/LMk3TX5ViC,explicit_hate
What a fucking faggot,explicit_hate
be brave and admit you a / zionist racist full of hate islam historicallywhat about your money collect,explicit_hate
" rt  "" an imam is demanding the extermination of the jews "" "" ( via vladtepes ) the jew hate is mainstream islamic ... """,explicit_hate
"RT @marylene58: ""@maggietanquary: shes one of the ugliest women Ive ever seen. Cross between a reptile and a crow."" http://t.co/jsyAoguP4S",explicit_hate
" that's b / c us mass media controlled by jews & aussie-brit murdoch family don't represent the  "" interests "" "" of american people """,explicit_hate
there you go snowflake  play the race card . securing the borders is not racist,explicit_hate
i hate black people  if it's not white it's not right #kkk #whitepower,explicit_hate
hippos : keeping gas stations nigger-free since 1921 | more : via,explicit_hate
" i support slavery so much i think it should be brought back .  "" people "" "" worked and were well behaved back then . """,explicit_hate
I can't fuck a scary hoe.,explicit_hate
" jews are only  "" white "" "" when theyre shilling for something . """,explicit_hate
"&#8220;@iamkrause: No need to thank me, killing niggers is it's own reward.&#8221; 

Dis my pal from our graduation when we was 26",explicit_hate
too white  not right : non-white hysteria over white as snow miss france via via,explicit_hate
#California is full of white trash,explicit_hate
" a jewish attention-whore homosexual who  "" prefers "" "" congoid men thinks he speaks for the dwindling white race """,explicit_hate
moslem invaders will bring an end to #,explicit_hate
"@RevolutionUK_ Jesus I would love to do that and more to those muzzie torturers, fucking animal savages",explicit_hate
churches self segregate peacefully and maintain white homogeneity . what's your iq ?,implicit_hate
"if he wasnt here 2 start with, kate would b alive. same w my sons killer.no illegals in zero crime by illegals.#noamnesty #buildthewall",implicit_hate
"in an industry of smart, spergy whites & asians, it wld be remarkable if there weren't dissident rightists.",implicit_hate
" call them  "" anti white "" "" cause that is what they are ! #whitegenocide """,implicit_hate
"I made a Chad tinder profile Females don't care how vulgar or disgusting you are when you're attractive, if I was to say the same things I've said to these people with my real picture they would call the cops on me  So far I've had 60 matches and none of them were disgusted by my messages, which were asking for sex straight up",implicit_hate
the whites need it  it is privelege reduction therapy goy,implicit_hate
But you're not REALLY disabled. You look so pretty!,implicit_hate
while the islamic right chops off hands and forcibly stops a book reading session of an author. that's alright?,implicit_hate
everyone prefers their own race and culture . churches are mostly white  black  korean etc . blacks now want black only dorms etc .,implicit_hate
How do you stop black kids from jumping on the bed? Put Velcro on the ceiling,implicit_hate
"A black guy finds a genie in a bottle Any three wishes he had would be granted, the genie informed him. ""I wanna be rich,"" said the black guy. The back yard filled up with chests of gold coins and jewels in the blink of an eye. ""I'm no fool,"" said the black guy. ""I wanna be white."" And there he stood, white, blonde-haired and blue-eyed. ""Last but not least, I never want to work another day in my life."" And he turned black again.",implicit_hate
"Since Harriet tubman is on the 20 dollar bill now, is it worth 3/5 of a 20 now?",implicit_hate
" native german children forced to cook & clean for muslim immigrants as part of  "" work experience "" "" via """,implicit_hate
it's okay to be fellow white,implicit_hate
no regrets ! way to go guys . no more white shame . no more white guilt .,implicit_hate
i see that all the time  too . i think the mixed race baby figures are underestimated . white women have gone nuts for this path to single motherhood .,implicit_hate
1 ) they have courage of conviction  those white men who publicly gather as white men . thei,implicit_hate
reverse all engines ! make america white again .,implicit_hate
if you don't think that we  as a country  do not have illegal immigration problems .. read the statistics carefully !,implicit_hate
: jw is a truth organization not a hate orginzation . islam is all about hate . #ar,implicit_hate
the republican party is not pro white . people need to shed themselves of that delusion and build a white party !,implicit_hate
ethnic norwegians disappearing as non-white colonization intensifies | read more : via,implicit_hate
we need to start enforce our laws . removing illegals and getting control of our visa's .,implicit_hate
the subcontinental-darkies climbed the america's political / corporate / social ladders faster than other asian groups,implicit_hate
where ? show me examples of white on white crime in republican controlled cities that resemble chicago  baltimore and detroit ? ?,implicit_hate
chin up . we'll all soon be compelled to accept everybody is a racist ( the right thing ) when gene editing / life extension science is commercialized + competition for white / asian dna makes it irrefutably clear the negroid dna has no commercial value : ~ 100 yr extinction event,implicit_hate
another l for the white people y'all need to get her asap,implicit_hate
ending daca is a step in the right direction . we are the rightful heirs to what our ancestors built .,implicit_hate
I don't know how well this software [facial recognition software] will work in places like Asia because all Chinese people look the same.,implicit_hate
populist = american . so racist is code for anti-white  populist = american . as opposed to rentier transients .,implicit_hate
"Believe me, my son is NOT gay. He has never once touched a Barbie, he's built like a linebacker, and he's a real man's man.",implicit_hate
why shouldn't we be out in force and messaging on the scene immediately after each and every attack on our people by non whites ?,implicit_hate
they sent the europeans to america to do all the things isis is doing  to demonize white people and christianity,implicit_hate
time to get the truthabout radical islamor buy a casketno joke,implicit_hate
we must secure the existance of our people and future for the white children ! !,implicit_hate
trumps agenda is not to white americas benefit ! jared kushner is a kabala practicing jew and he advises trump . look elsewhere for a white victory !,implicit_hate
black man openly fantasizes about slaughtering white girls during race war ( video ) #swrm #racist via,implicit_hate
yep . the white mormon tabernacle choir is a hate group according to the white-hating jewish splc ...,implicit_hate
"as if muslims at the border will admit they want islamic law. """"do you believe gays should die?"""" """"no."""" """"ok, in you go.",implicit_hate
"yes legal immigrants only. stop heroin traffic, jihadists, save jobs. a no brainer, no hrc no problems!",implicit_hate
dr . david duke : will the white race survive ? ( video ) #flegs #onthehill #tweetni via,implicit_hate
lovely pictorial . white people are civilization .,implicit_hate
"stop 'warehousing' them and send them back where they came from! no visa, no stay--gone!!",implicit_hate
proving that the opposition to white nationalists are degenerates !,implicit_hate
good to know that is 100 percent #altright . #hailloomer !,implicit_hate
waffen-ss reenactor t-shirt from the white resister | read more : via,implicit_hate
this selfie is so white  i love it .,implicit_hate
thanks for all that you do for #white #awareness  you and are ours white superheroes !,implicit_hate
cair national think you might be surprised how far americans can turn the clock back when we've had enough !,implicit_hate
we also have these people speaking out on the dangers of islam to the west,implicit_hate
most white south africans see americans as ignorant stupid fools like george w bush .,implicit_hate
"from what i understand most major religions all pray to the same god . after tragedies often i hear ' god has a plan ' well , frankly i think they are right . like after sandy hook , you know , like <number> kids were murdered . that was part of gods plan . i mean , how else is he going to keep coming up with virgins for the suicide bombers .",implicit_hate
deflection-projection . the only real violence comes from antifa types who go out of their wa,implicit_hate
this is what your pathetic good white sentiment will get you . take notes people .,implicit_hate
33 % mps have criminal records  82 % are myjihad islam muslims #arvindjailed leaving for delhi,implicit_hate
white power brothers,implicit_hate
"Via @VDARE‍, article on how the death penalty improved the European gene pool by removing the most violent and least religious young men: https://www.vdare.com/articles/death-penalty",implicit_hate
whites are finally beginning to vote like other races--in their own interests .,implicit_hate
john friend's blog : the realist report - john kaminski & john de nugent : resisting the jew world order :,implicit_hate
you jihad enablers are so filled with hate  it oozes out of your every utterance .,implicit_hate
"build the wall, and a moat to drown them too",implicit_hate
most of these lawsuits could be dismissed if we had reasonable constitutional judges! illegals have no constitutional rights!,implicit_hate
atlanta hawks poor attendance is blamed on black crowds making southern whites uncomfortable :,implicit_hate
born in america  you waste of space . all you people bring to this world is hate and negati,implicit_hate
" rubio supporters voted cruz & the  "" trump hates israel "" "" quotient was like ron paul years . ron paul deserves blame ; stayed home """,implicit_hate
with blacks on the bottom of the social ladder you cannot put faith in those designed to maintain you there,implicit_hate
the only thing they should be entitled to is a swift deportation,implicit_hate
"amazing, she's a candidate that conspires with illegal immigrants for votes, wow and she wants to be president",implicit_hate
"poison ivy league schools. higher """"macademia"""" bunch of nuts! let'em sponsor unvetted from 7 terror nations!",implicit_hate
"I just think that the feminist movement glorifies obesity. It should focus on being healthy, because what it's doing now is just as bad as the mainstream media!",implicit_hate
" rt the #kosher food #scam getting into prisons .  "" demands for kosher food hiking prison costs "" "" #judaism #greed """,implicit_hate
the conservatives have failed to conserve what really matters . it's time they made way for nationalism .,implicit_hate
white guilt,implicit_hate
" will  quick question : if a black guy decapitates a white guy bc the color of his race will your headline say a )  "" reparations "" "" or b ) "" "" we need to do more to listen the oppressed communities "" "" ? """,implicit_hate
what's worse ? isis or the united gop / dnc attacking what's left of white southern heritage in america ?,implicit_hate
see  literally being white is racist #whitegenocide,implicit_hate
you mean the constitution written by white people for white people ? those conservatives would deny that !,implicit_hate
white = racist,implicit_hate
"gramps would leave the door unlocked during the summer hoping someone broke in, free labor in lieu of buckshot and a 3 sec headstart",implicit_hate
it is tragic ... because the white race has accomplished so much and we are responsible for so many great,implicit_hate
only in america can a muslim bonnie and clyde terrorist team kill and the white man gets blamed for it .,implicit_hate
: discussion time : morality and the potential destruction of white civilization via,implicit_hate
europe is being flooded with africas and muslims atm by globalists supported by european antifa . you are what you hate so much,implicit_hate
What do you call a white girl who’s faster than her brothers? A redneck virgin,implicit_hate
" why ? when black pride / hispanic pride / asian pride / muslim pride / jewish pride / even  "" gay "" "" pri """,implicit_hate
weimerica . ok ! i will die in a few years  protected . message as a pro white,implicit_hate
and white people do not need black people for anything at all you need us we don't need you,implicit_hate
that negates the global system of white supremacy ?,implicit_hate
"while in india ,they breed like mosquitoes & actually push around majority hindus! !",implicit_hate
no  not them . they're on the stupid side of the spectrum  but they're not vocal white power enthusiasts ( etc ) .,implicit_hate
michelle obama goes on racist tirade against white men at womens conference in pennsylvania,implicit_hate
Did they try turning Stephen Hawking off and on again?,implicit_hate
the white genocide manifesto via,implicit_hate
cnn wants black people to think the president is racist . look around you,implicit_hate
no. stop immigration from countries where they grow oil and dirt. total shutdown. us gov't is incompetent seiu.,implicit_hate
in us  black lives matter is not racist but kkk is ? questions about sincerity and seriousness . if blm is not racist  kkk cannot be .,implicit_hate
indians are pre colombians . white people founded and built usa .,implicit_hate
: white pill time : richard spencer helps to lead torchlight procession in support of white southern h,implicit_hate
#NAME?,implicit_hate
another anti-white hate crime by a muslim .,implicit_hate
white people are the mainstream . accept it . it's a good thing .,implicit_hate
"yeah, black people know how to use weapons the day they are born. i'm white!",implicit_hate
white race has lost sense .,implicit_hate
great news  it's about time us white folks did somethingl,implicit_hate
only certain groups of whites are degenerate .,implicit_hate
What do bikes and black men have in common? The chain,implicit_hate
all black people are racist .,implicit_hate
"third world immigration will destroy western civilization long before climate change, and who gives a shit if the brown people who replace us have comfy weather?",implicit_hate
no god damned amnesty to any illegal aliens,implicit_hate
" are jewish groups going to demand massive non-jewish immigration into israel ? or is  "" diversity "" "" only for the west ? """,implicit_hate
Why do black people turn left? Because they don't have rights.,implicit_hate
antifa & other commies will be there  of course . if cops standdown like #charlottesville  mi,implicit_hate
Having a criminal record is more attractive to women than having a PhD A violent alpha male is the ultimate sexual desire for women.,implicit_hate
do yall blaze up on hitlers bday 420 sieg heil blaze it ?,implicit_hate
"they're not evil, or sad.they're obnoxious as hell. they're like a shitty smell in the air caused by hatred and jealousy of decent people.",implicit_hate
"are you ready to be waterboarded yet, sean? still waiting!",implicit_hate
"i was going to go poster the local synagogue with these, hail victory my fellow fashy goys! teehee",implicit_hate
: new black panther negroes started mobilization to burn white communities,implicit_hate
I’m starving and scared That I might offend Africans because I’m culturally appropriating them,implicit_hate
" all white heritage is hate ? what about all the bad things blacks and asians have done ? or do you have a double standard cuz '  "" oppression . "" "" """,implicit_hate
trump is the only one willing to stop white genocide by stopping non-white immigration .,implicit_hate
"oooohh no.. that's just their welcoming committee, religion",implicit_hate
so zhids ordered stupid employees poor jew and other white collar working classlemmings that cal themselves,implicit_hate
anti-whites will demonize any white person focusing on their race in a positive way . but if you look at,implicit_hate
ethnic dutch a minority in big cities  so how do they integrate ? #swrm #minority #integrate via,implicit_hate
i dont care .. i care about my people .. i want total separation with other races .. total apathy  is my policy .. i know its so wayciss  right ?,implicit_hate
"white workers built roads, railways and bridges. were stockmen, railroaders and river men.",implicit_hate
don't they realize we can nuke them off the face of the earth?#arrogantfornoreason,implicit_hate
white south africans trapped like frogs in boiling water anti-white racial violence escalates #swrm #whitegenocide,implicit_hate
"It doesn't matter suicide rates are going up in Black communities, The race was killing itself anyway.",implicit_hate
blm $ 1million dollars would go along way to help in your causes ! i guess illegals are more important ! crickets,implicit_hate
" incredible how sf  "" leaders "" "" want a policy where the cops tip off illegals & not cooperate with ice ! absolutely incredible ! ! """,implicit_hate
infrastructure is the white mans game .,implicit_hate
german antifa call for the rape and genocide of ethnic germans | read more : via,implicit_hate
: alright ted kaczynski  mail bomb your way to a white ethnostate . while o,implicit_hate
" otherwise you hear these same black people . that are ment to represent you ... say you are an  "" uncle tom "" ""  race traitor and you know what els """,implicit_hate
" 3 ) here is another example of #portland organizer jake von-ott being  "" not a white supremacist "" "" """,implicit_hate
"if the west is so desperate for migrants, take indians! they are family focused, hard-working, ambiti",implicit_hate
"Yes, you're both. @kfuru16: My sister is a woman and Asian. She is the worst driver in America #notracist #notsexist",implicit_hate
" that's why i tell the people calling that flag racist & hate  "" oh you want to see a ' racist & hate ' do you ? "" "" """,implicit_hate
#NAME?,implicit_hate
aclu needs to be put out of business it certainly is a front for illegals. take your threats and shove it,implicit_hate
mr . those who fell into the hands of islamic invaders had only two choices - either convert or get killed .,implicit_hate
sweden  once a proud scandinavian country  has fallen to disgrace . americans  hold on to your heritage ! there is hope !,implicit_hate
stand on line like legal immigrants do. don't confuse us with ppl breaking the law. illegals immigrants are illegal. end,implicit_hate
#germans are great people stop #jews an others from degrading your race an be #proud you #white #heritage,implicit_hate
"the problem with the swamp, it is more interested in foreign nationals than american citizens",implicit_hate
absolutely! throw the trash out and build a wall! americans say no more!!!,implicit_hate
will is the first step to action . but you're right  strong action will be necessary to save europe for the white race .,implicit_hate
jew says he's gonna kill judge,implicit_hate
I always love when @kathy_doermer and I vent about bitches &#128076;,offensive
"@kvngkendric_ fight . Expose hoes , do some super gay shit , anything negative , since that's how society works.",offensive
I snorted shit with more girls in my presence than a dude lmao coke head bitches..,offensive
"Bang, bitch, you think I'm strange, bitch? It's bananas like a fucking rangatang bitch

#vote5sos
#EMABiggestFans1D",offensive
"RT @SenorSteez: Man, now these hoes know &#128514;&#128176;&#128182;&#128184; #TheJigIsUp http://t.co/8W9Ag3bx1a",offensive
bitch i will cut you,offensive
RT @reshell_: Keshun be like it aint nothing to cut that bitch nawl it aint &#128557;&#128514;&#128514;,offensive
"I asked my two best friends to describe me in three words, I get back ""boss ass bitch"" and ""short, feisty, and Mexican."" I love my friends.",offensive
Just cleaned this bitch. #BoyfriendsTruck #Clean #InsideAndOut #Ram1500 #TookForever #NoFliter&#8230; http://t.co/Bvb0LRisHY,offensive
RT @shantybear: bitch do I entertain you? Cause you always seem to be in my business,offensive
"@WaTch_Mark @WaTch_Scenario Normally I would say she must have a great pussy but since I've seen it, that's not true so idk what it is.",offensive
RT @TheBardockObama: People downloading time hop to be reminded they were faggots a year ago too,offensive
@grandeftlou and bullying? I didn't know u could bully over the internet?? And the bitch came at me so idk why u in my mentions bruh,offensive
"&#8220;@GoldieMack_: &#8220;@Treslyon: @GoldieMack_ shit where you from&#8221;

Baltimore...&#8221; Man them hoes fine &amp; crazy",offensive
"RT @ThugginLegally_: Twitter jail is pointless your suppose to tweet , they need instagram jail for hoes doing Shout out for shout out all &#8230;",offensive
"""They Faggots @JonnieSantana: Orioles petty as fuck...got swept up outta this bitch""",offensive
""" is that ya bitch """,offensive
RT @B_Laff: &#8220;@JRohrCockblock: im a faggot&#8221; @JohnnyRohrCock,offensive
RT @coolgirl71899: bitch act like she never seen a face mask #bitchplease http://t.co/uQQ0K8H89l,offensive
RT @RnadJorell: &#8220;@_KudaBrazyy: @RnadJorell Knocked that bitch soul out her body lol&#8221; aha bruh cocked back an fired on that bitch,offensive
@_ElenaRaquel_ its swag bitch aha,offensive
Watching Forrest Gump has taught me that these bitches wanna hoes until they're tired,offensive
And it's always the black bitches that's constantly late AF for no reason. Couldn't refuse the ladies in free til 12 &amp; $1 shots,offensive
"RT @JamesNasty: Here I am, ready to rant about gfs and dogs and tears and women who cant handle their liquor and get jealous of club hoes a&#8230;",offensive
These hoes ain't loyal...,offensive
"""I only be with older men cause they're more mature""

That supposed to fool us bitch?",offensive
Then there's this stupid bitch in my class that literally has to ask a question every time the professor says something.,offensive
You at the club EVERY week bitch get a life,offensive
RT @paidinfull_4: &#8220;@brennonthekidd_: what would u do? .. &#128561; http://t.co/RisLnwWIeR&#8221;kick that bitch down the stairs!,offensive
